STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
US,Total,"245,502","224,059","157,596",64.2,0.3,70.3,0.3,"137,537",56.0,0.3,61.4,0.3,,,,,
US,18 to 24,"29,320","26,913","14,905",50.8,0.9,55.4,0.9,"11,560",39.4,0.9,43.0,0.9,,,,,
US,25 to 34,"43,794","38,283","24,682",56.4,0.7,64.5,0.8,"20,332",46.4,0.7,53.1,0.8,,,,,
US,35 to 44,"39,905","34,327","23,948",60.0,0.8,69.8,0.8,"20,662",51.8,0.8,60.2,0.8,,,,,
US,45 to 64,"83,799","77,544","57,394",68.5,0.5,74.0,0.5,"51,668",61.7,0.5,66.6,0.5,,,,,
US,65+,"48,684","46,993","36,667",75.3,0.6,78.0,0.6,"33,314",68.4,0.6,70.9,0.6,,,,,
ALABAMA,Total,"3,717","3,651","2,526",68.0,2.5,69.2,2.5,"2,095",56.4,2.7,57.4,2.7,,,,,
ALABAMA,18 to 24,513,497,283,55.2,7.2,57.0,7.3,212,41.4,7.1,42.7,7.3,,,,,
ALABAMA,25 to 34,583,568,393,67.5,6.3,69.2,6.3,310,53.1,6.8,54.5,6.8,,,,,
ALABAMA,35 to 44,566,548,363,64.1,6.6,66.3,6.6,306,54.0,6.8,55.8,6.9,,,,,
ALABAMA,45 to 64,"1,293","1,280",881,68.1,4.2,68.8,4.2,761,58.8,4.5,59.4,4.5,,,,,
ALABAMA,65+,761,758,606,79.5,4.8,79.9,4.8,507,66.5,5.6,66.9,5.6,,,,,
ALASKA,Total,518,502,358,69.1,2.6,71.3,2.6,308,59.4,2.8,61.3,2.8,,,,,
ALASKA,18 to 24,65,65,32,B,B,B,B,26,B,B,B,B,,,,,
ALASKA,25 to 34,113,109,71,62.6,5.9,64.8,6.0,58,51.0,6.1,52.7,6.2,,,,,
ALASKA,35 to 44,83,79,58,B,B,B,B,48,B,B,B,B,,,,,
ALASKA,45 to 64,180,174,138,77.0,4.1,79.6,4.0,122,67.9,4.5,70.2,4.5,,,,,
ALASKA,65+,77,75,59,B,B,B,B,54,B,B,B,B,,,,,
ARIZONA,Total,"5,196","4,585","3,145",60.5,2.2,68.6,2.3,"2,769",53.3,2.3,60.4,2.4,,,,,
ARIZONA,18 to 24,735,654,346,47.1,6.1,52.8,6.5,263,35.8,5.9,40.2,6.3,,,,,
ARIZONA,25 to 34,854,729,460,53.9,5.7,63.1,5.9,377,44.1,5.6,51.7,6.1,,,,,
ARIZONA,35 to 44,776,663,423,54.5,5.9,63.7,6.2,349,45.0,5.9,52.6,6.4,,,,,
ARIZONA,45 to 64,"1,736","1,510","1,143",65.9,3.8,75.7,3.7,"1,038",59.8,3.9,68.7,4.0,,,,,
ARIZONA,65+,"1,096","1,028",774,70.6,4.6,75.3,4.5,743,67.8,4.7,72.2,4.6,,,,,
ARKANSAS,Total,"2,216","2,116","1,456",65.7,2.7,68.8,2.6,"1,241",56.0,2.8,58.7,2.8,,,,,
ARKANSAS,18 to 24,187,180,92,49.1,9.6,51.2,9.8,62,33.1,9.0,34.5,9.3,,,,,
ARKANSAS,25 to 34,409,367,224,54.8,6.5,61.1,6.7,173,42.3,6.4,47.1,6.8,,,,,
ARKANSAS,35 to 44,387,362,244,63.1,6.4,67.5,6.5,211,54.5,6.6,58.3,6.8,,,,,
ARKANSAS,45 to 64,716,697,503,70.2,4.5,72.2,4.5,452,63.1,4.7,64.8,4.8,,,,,
ARKANSAS,65+,516,510,392,76.0,4.9,76.9,4.9,343,66.6,5.5,67.3,5.5,,,,,
CALIFORNIA,Total,"29,894","24,890","16,096",53.8,1.0,64.7,1.0,"14,416",48.2,1.0,57.9,1.0,,,,,
CALIFORNIA,18 to 24,"3,760","3,308","1,656",44.0,2.7,50.1,2.9,"1,411",37.5,2.6,42.7,2.8,,,,,
CALIFORNIA,25 to 34,"5,742","4,579","2,795",48.7,2.2,61.0,2.4,"2,379",41.4,2.2,51.9,2.4,,,,,
CALIFORNIA,35 to 44,"5,145","3,797","2,412",46.9,2.3,63.5,2.6,"2,074",40.3,2.3,54.6,2.7,,,,,
CALIFORNIA,45 to 64,"9,835","8,252","5,581",56.8,1.7,67.6,1.7,"5,124",52.1,1.7,62.1,1.8,,,,,
CALIFORNIA,65+,"5,412","4,955","3,651",67.5,2.1,73.7,2.1,"3,429",63.4,2.2,69.2,2.2,,,,,
COLORADO,Total,"4,242","3,895","2,893",68.2,2.4,74.3,2.3,"2,707",63.8,2.5,69.5,2.5,,,,,
COLORADO,18 to 24,410,361,210,51.2,8.2,58.2,8.6,177,43.1,8.1,49.0,8.8,,,,,
COLORADO,25 to 34,922,851,596,64.7,5.2,70.1,5.2,535,58.0,5.4,62.9,5.5,,,,,
COLORADO,35 to 44,774,683,535,69.1,5.5,78.2,5.2,514,66.5,5.6,75.3,5.5,,,,,
COLORADO,45 to 64,"1,342","1,243",914,68.1,4.2,73.6,4.2,867,64.6,4.3,69.7,4.3,,,,,
COLORADO,65+,794,757,638,80.4,4.7,84.3,4.4,614,77.3,4.9,81.1,4.7,,,,,
CONNECTICUT,Total,"2,759","2,483","1,763",63.9,2.6,71.0,2.6,"1,586",57.5,2.7,63.9,2.8,,,,,
CONNECTICUT,18 to 24,263,225,123,46.6,8.9,54.6,9.6,97,37.0,8.6,43.3,9.5,,,,,
CONNECTICUT,25 to 34,505,425,279,55.2,6.4,65.5,6.6,244,48.4,6.4,57.5,6.9,,,,,
CONNECTICUT,35 to 44,397,347,236,59.5,7.1,68.1,7.2,208,52.5,7.2,60.1,7.6,,,,,
CONNECTICUT,45 to 64,"1,034",943,700,67.7,4.2,74.3,4.1,636,61.5,4.4,67.4,4.4,,,,,
CONNECTICUT,65+,560,544,425,75.9,5.2,78.2,5.1,400,71.4,5.5,73.6,5.5,,,,,
DELAWARE,Total,729,669,487,66.8,2.6,72.8,2.5,417,57.2,2.7,62.3,2.8,,,,,
DELAWARE,18 to 24,82,69,44,B,B,B,B,29,B,B,B,B,,,,,
DELAWARE,25 to 34,110,91,62,B,B,B,B,48,B,B,B,B,,,,,
DELAWARE,35 to 44,115,102,77,66.4,6.5,75.0,6.3,62,54.0,6.8,61.1,7.1,,,,,
DELAWARE,45 to 64,253,242,177,70.1,4.2,73.2,4.2,162,64.1,4.5,66.8,4.5,,,,,
DELAWARE,65+,169,164,127,75.3,4.9,77.2,4.8,116,68.7,5.3,70.5,5.2,,,,,
DISTRICT OF COLUMBIA,Total,553,512,420,75.9,2.4,82.1,2.2,380,68.7,2.6,74.3,2.5,,,,,
DISTRICT OF COLUMBIA,18 to 24,59,55,40,B,B,B,B,34,B,B,B,B,,,,,
DISTRICT OF COLUMBIA,25 to 34,179,164,130,72.9,4.3,79.6,4.1,120,67.1,4.6,73.3,4.5,,,,,
DISTRICT OF COLUMBIA,35 to 44,91,80,70,B,B,B,B,64,B,B,B,B,,,,,
DISTRICT OF COLUMBIA,45 to 64,139,131,110,79.5,4.5,84.2,4.2,99,71.4,5.0,75.7,4.9,,,,,
DISTRICT OF COLUMBIA,65+,86,82,70,B,B,B,B,63,B,B,B,B,,,,,
FLORIDA,Total,"16,202","14,428","9,604",59.3,1.3,66.6,1.3,"8,578",52.9,1.3,59.5,1.3,,,,,
FLORIDA,18 to 24,"1,589","1,413",728,45.8,4.1,51.5,4.3,527,33.1,3.8,37.3,4.2,,,,,
FLORIDA,25 to 34,"2,582","2,245","1,357",52.5,3.2,60.5,3.4,"1,157",44.8,3.2,51.6,3.4,,,,,
FLORIDA,35 to 44,"2,505","1,985","1,315",52.5,3.2,66.3,3.5,"1,144",45.7,3.2,57.6,3.6,,,,,
FLORIDA,45 to 64,"5,661","5,091","3,446",60.9,2.1,67.7,2.1,"3,171",56.0,2.1,62.3,2.2,,,,,
FLORIDA,65+,"3,865","3,694","2,758",71.4,2.4,74.7,2.3,"2,578",66.7,2.5,69.8,2.5,,,,,
GEORGIA,Total,"7,626","7,048","4,892",64.1,1.8,69.4,1.8,"4,246",55.7,1.9,60.2,1.9,,,,,
GEORGIA,18 to 24,991,923,511,51.6,5.3,55.4,5.4,401,40.5,5.2,43.5,5.4,,,,,
GEORGIA,25 to 34,"1,316","1,119",712,54.1,4.5,63.6,4.8,609,46.3,4.6,54.4,4.9,,,,,
GEORGIA,35 to 44,"1,352","1,211",790,58.4,4.4,65.3,4.5,672,49.7,4.5,55.5,4.7,,,,,
GEORGIA,45 to 64,"2,599","2,456","1,801",69.3,3.0,73.3,3.0,"1,593",61.3,3.2,64.9,3.2,,,,,
GEORGIA,65+,"1,368","1,340","1,078",78.8,3.7,80.4,3.6,971,71.0,4.1,72.4,4.0,,,,,
HAWAII,Total,"1,064",974,530,49.8,2.7,54.4,2.8,460,43.3,2.7,47.3,2.8,,,,,
HAWAII,18 to 24,115,108,38,33.4,7.8,35.6,8.2,23,20.4,6.6,21.7,7.0,,,,,
HAWAII,25 to 34,198,178,76,38.5,6.1,42.8,6.6,61,30.8,5.8,34.3,6.3,,,,,
HAWAII,35 to 44,161,148,79,49.3,7.0,53.6,7.2,69,42.8,6.9,46.6,7.2,,,,,
HAWAII,45 to 64,366,333,200,54.6,4.6,60.1,4.7,182,49.7,4.6,54.6,4.8,,,,,
HAWAII,65+,224,207,136,60.8,5.8,65.7,5.8,125,55.8,5.9,60.3,6.0,,,,,
IDAHO,Total,"1,224","1,150",790,64.5,2.7,68.7,2.7,714,58.3,2.7,62.1,2.8,,,,,
IDAHO,18 to 24,166,153,79,47.4,7.5,51.7,7.9,68,40.7,7.4,44.3,7.8,,,,,
IDAHO,25 to 34,217,198,116,53.5,6.6,58.8,6.8,102,46.8,6.6,51.4,6.9,,,,,
IDAHO,35 to 44,187,172,109,58.3,7.0,63.6,7.1,96,51.1,7.1,55.7,7.4,,,,,
IDAHO,45 to 64,381,357,265,69.5,4.6,74.1,4.5,247,64.8,4.8,69.1,4.8,,,,,
IDAHO,65+,272,270,220,80.9,4.6,81.5,4.6,202,74.1,5.2,74.7,5.1,,,,,
ILLINOIS,Total,"9,723","8,970","6,665",68.5,1.6,74.3,1.5,"5,719",58.8,1.7,63.8,1.7,,,,,
ILLINOIS,18 to 24,"1,330","1,287",802,60.3,4.4,62.3,4.5,603,45.3,4.5,46.8,4.6,,,,,
ILLINOIS,25 to 34,"1,664","1,460",975,58.6,4.0,66.8,4.1,795,47.8,4.1,54.5,4.3,,,,,
ILLINOIS,35 to 44,"1,527","1,331",996,65.3,4.0,74.8,3.9,811,53.1,4.2,60.9,4.4,,,,,
ILLINOIS,45 to 64,"3,456","3,202","2,539",73.5,2.5,79.3,2.4,"2,272",65.8,2.7,71.0,2.7,,,,,
ILLINOIS,65+,"1,746","1,690","1,352",77.4,3.3,80.0,3.2,"1,237",70.9,3.6,73.2,3.6,,,,,
INDIANA,Total,"4,988","4,795","3,298",66.1,2.2,68.8,2.2,"2,795",56.0,2.3,58.3,2.3,,,,,
INDIANA,18 to 24,618,587,338,54.7,6.6,57.6,6.7,252,40.8,6.5,43.0,6.7,,,,,
INDIANA,25 to 34,917,881,550,60.0,5.3,62.5,5.4,442,48.2,5.4,50.2,5.5,,,,,
INDIANA,35 to 44,758,713,492,65.0,5.7,69.0,5.7,426,56.2,5.9,59.7,6.0,,,,,
INDIANA,45 to 64,"1,742","1,682","1,192",68.4,3.7,70.9,3.6,"1,043",59.9,3.9,62.0,3.9,,,,,
INDIANA,65+,953,933,725,76.1,4.5,77.8,4.5,632,66.3,5.0,67.7,5.0,,,,,
IOWA,Total,"2,394","2,292","1,657",69.2,2.6,72.3,2.5,"1,454",60.7,2.7,63.4,2.7,,,,,
IOWA,18 to 24,295,278,142,48.3,7.9,51.2,8.1,105,35.5,7.6,37.6,7.9,,,,,
IOWA,25 to 34,450,405,305,67.8,6.0,75.2,5.8,241,53.6,6.4,59.5,6.6,,,,,
IOWA,35 to 44,343,325,228,66.4,6.9,70.1,6.9,196,57.1,7.3,60.2,7.4,,,,,
IOWA,45 to 64,768,754,545,71.0,4.5,72.3,4.4,499,65.0,4.7,66.2,4.7,,,,,
IOWA,65+,538,529,436,81.2,4.6,82.4,4.5,413,76.8,4.9,78.0,4.9,,,,,
KANSAS,Total,"2,142","2,029","1,438",67.1,2.8,70.9,2.8,"1,243",58.0,3.0,61.3,3.0,,,,,
KANSAS,18 to 24,269,254,126,46.7,8.4,49.5,8.7,91,33.8,8.0,35.8,8.3,,,,,
KANSAS,25 to 34,402,362,219,54.5,6.9,60.5,7.1,184,45.9,6.9,50.8,7.3,,,,,
KANSAS,35 to 44,328,314,240,73.2,6.8,76.4,6.6,210,63.9,7.3,66.7,7.4,,,,,
KANSAS,45 to 64,719,682,502,69.9,4.7,73.7,4.7,445,61.8,5.0,65.2,5.1,,,,,
KANSAS,65+,424,417,350,82.6,5.1,84.1,5.0,314,73.9,5.9,75.2,5.9,,,,,
KENTUCKY,Total,"3,348","3,246","2,253",67.3,2.7,69.4,2.7,"1,850",55.3,2.8,57.0,2.9,,,,,
KENTUCKY,18 to 24,406,384,249,61.5,8.0,64.9,8.1,207,51.1,8.2,53.9,8.4,,,,,
KENTUCKY,25 to 34,530,496,336,63.3,6.9,67.7,7.0,273,51.5,7.2,55.1,7.4,,,,,
KENTUCKY,35 to 44,553,529,360,65.1,6.7,68.1,6.7,300,54.2,7.0,56.7,7.1,,,,,
KENTUCKY,45 to 64,"1,244","1,229",853,68.6,4.4,69.4,4.4,703,56.6,4.7,57.2,4.7,,,,,
KENTUCKY,65+,615,609,455,73.9,5.9,74.7,5.8,366,59.5,6.6,60.2,6.6,,,,,
LOUISIANA,Total,"3,463","3,353","2,446",70.6,2.5,73.0,2.4,"2,067",59.7,2.6,61.6,2.7,,,,,
LOUISIANA,18 to 24,458,453,283,61.7,7.2,62.5,7.2,225,49.2,7.4,49.8,7.4,,,,,
LOUISIANA,25 to 34,628,602,425,67.6,5.9,70.5,5.9,318,50.7,6.3,52.8,6.4,,,,,
LOUISIANA,35 to 44,536,510,348,64.9,6.5,68.2,6.5,308,57.4,6.8,60.4,6.9,,,,,
LOUISIANA,45 to 64,"1,233","1,197",913,74.1,4.0,76.3,3.9,801,64.9,4.3,66.9,4.3,,,,,
LOUISIANA,65+,608,592,478,78.5,5.3,80.7,5.1,415,68.3,6.0,70.2,6.0,,,,,
MAINE,Total,"1,058","1,038",830,78.5,2.5,80.0,2.5,754,71.3,2.8,72.7,2.8,,,,,
MAINE,18 to 24,101,100,63,61.7,9.6,62.4,9.6,49,48.8,9.9,49.4,10.0,,,,,
MAINE,25 to 34,157,154,109,69.2,7.3,70.8,7.3,95,60.4,7.8,61.8,7.8,,,,,
MAINE,35 to 44,146,139,107,73.3,7.3,76.9,7.1,97,66.4,7.8,69.6,7.8,,,,,
MAINE,45 to 64,421,418,354,83.9,3.6,84.6,3.5,327,77.5,4.1,78.2,4.0,,,,,
MAINE,65+,232,227,198,85.4,4.6,87.3,4.4,186,80.3,5.2,82.0,5.1,,,,,
MARYLAND,Total,"4,623","4,158","3,114",67.3,2.3,74.9,2.3,"2,737",59.2,2.4,65.8,2.5,,,,,
MARYLAND,18 to 24,468,414,279,59.7,7.6,67.4,7.7,225,48.0,7.8,54.3,8.2,,,,,
MARYLAND,25 to 34,819,711,505,61.7,5.7,71.1,5.7,424,51.8,5.9,59.7,6.2,,,,,
MARYLAND,35 to 44,833,668,490,58.8,5.7,73.3,5.7,424,50.9,5.8,63.6,6.2,,,,,
MARYLAND,45 to 64,"1,702","1,586","1,243",73.0,3.6,78.4,3.5,"1,133",66.6,3.8,71.4,3.8,,,,,
MARYLAND,65+,801,778,596,74.4,5.2,76.6,5.1,530,66.2,5.6,68.1,5.6,,,,,
MASSACHUSETTS,Total,"5,374","4,967","3,660",68.1,2.1,73.7,2.0,"3,315",61.7,2.2,66.7,2.2,,,,,
MASSACHUSETTS,18 to 24,596,555,298,50.0,6.7,53.6,6.9,238,39.9,6.6,42.8,6.9,,,,,
MASSACHUSETTS,25 to 34,"1,035",919,615,59.5,5.0,67.0,5.1,555,53.6,5.1,60.4,5.3,,,,,
MASSACHUSETTS,35 to 44,811,696,506,62.4,5.6,72.6,5.5,475,58.6,5.7,68.3,5.8,,,,,
MASSACHUSETTS,45 to 64,"1,850","1,743","1,383",74.8,3.3,79.3,3.2,"1,263",68.3,3.5,72.5,3.5,,,,,
MASSACHUSETTS,65+,"1,082","1,054",858,79.3,4.0,81.4,3.9,784,72.4,4.4,74.3,4.4,,,,,
MICHIGAN,Total,"7,624","7,332","5,434",71.3,1.7,74.1,1.7,"4,713",61.8,1.8,64.3,1.8,,,,,
MICHIGAN,18 to 24,853,813,453,53.1,5.6,55.7,5.7,308,36.1,5.4,37.8,5.6,,,,,
MICHIGAN,25 to 34,"1,397","1,305",911,65.2,4.2,69.8,4.2,706,50.6,4.4,54.1,4.6,,,,,
MICHIGAN,35 to 44,"1,047","1,012",750,71.7,4.6,74.1,4.5,650,62.1,4.9,64.2,5.0,,,,,
MICHIGAN,45 to 64,"2,848","2,740","2,158",75.8,2.6,78.7,2.6,"1,962",68.9,2.9,71.6,2.8,,,,,
MICHIGAN,65+,"1,480","1,462","1,162",78.5,3.5,79.5,3.5,"1,088",73.5,3.8,74.4,3.8,,,,,
MINNESOTA,Total,"4,190","3,985","3,055",72.9,2.3,76.7,2.2,"2,738",65.3,2.4,68.7,2.4,,,,,
MINNESOTA,18 to 24,524,476,297,56.7,7.2,62.4,7.4,260,49.6,7.2,54.7,7.6,,,,,
MINNESOTA,25 to 34,708,674,491,69.3,5.7,72.8,5.7,435,61.4,6.1,64.5,6.1,,,,,
MINNESOTA,35 to 44,684,625,476,69.7,5.8,76.2,5.6,438,64.1,6.1,70.1,6.1,,,,,
MINNESOTA,45 to 64,"1,503","1,441","1,158",77.1,3.6,80.3,3.5,"1,047",69.7,3.9,72.6,3.9,,,,,
MINNESOTA,65+,772,769,633,82.0,4.6,82.3,4.6,558,72.3,5.3,72.6,5.3,,,,,
MISSISSIPPI,Total,"2,203","2,170","1,725",78.3,2.3,79.5,2.2,"1,470",66.7,2.6,67.7,2.6,,,,,
MISSISSIPPI,18 to 24,283,279,170,60.0,7.5,60.9,7.6,130,46.1,7.7,46.7,7.7,,,,,
