STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
MISSISSIPPI,25 to 34,356,345,262,73.7,6.1,76.1,6.0,203,57.0,6.8,58.9,6.9,,,,,
MISSISSIPPI,35 to 44,368,358,278,75.4,5.8,77.6,5.7,245,66.5,6.4,68.4,6.4,,,,,
MISSISSIPPI,45 to 64,763,758,635,83.1,3.5,83.8,3.5,557,72.9,4.2,73.5,4.2,,,,,
MISSISSIPPI,65+,433,431,380,87.9,4.1,88.4,4.0,335,77.3,5.2,77.7,5.2,,,,,
MISSOURI,Total,"4,626","4,486","3,333",72.1,2.2,74.3,2.2,"2,906",62.8,2.4,64.8,2.4,,,,,
MISSOURI,18 to 24,565,540,326,57.7,6.9,60.4,7.0,259,45.9,7.0,48.0,7.2,,,,,
MISSOURI,25 to 34,757,734,497,65.6,5.8,67.7,5.8,404,53.4,6.1,55.1,6.1,,,,,
MISSOURI,35 to 44,753,692,473,62.9,5.9,68.4,5.9,418,55.5,6.1,60.4,6.2,,,,,
MISSOURI,45 to 64,"1,537","1,519","1,184",77.0,3.6,77.9,3.6,"1,065",69.3,3.9,70.1,3.9,,,,,
MISSOURI,65+,"1,013","1,002",854,84.2,3.8,85.2,3.7,759,74.9,4.6,75.8,4.5,,,,,
MONTANA,Total,798,790,581,72.8,2.3,73.5,2.3,521,65.2,2.4,65.9,2.4,,,,,
MONTANA,18 to 24,97,95,51,B,B,B,B,38,B,B,B,B,,,,,
MONTANA,25 to 34,131,129,83,63.2,6.1,64.4,6.1,65,49.8,6.3,50.7,6.4,,,,,
MONTANA,35 to 44,114,113,84,73.6,5.9,74.3,5.9,77,67.2,6.3,67.8,6.3,,,,,
MONTANA,45 to 64,274,272,212,77.4,3.6,77.9,3.6,199,72.5,3.9,73.0,3.9,,,,,
MONTANA,65+,182,182,151,82.9,4.0,82.9,4.0,142,78.1,4.4,78.1,4.4,,,,,
NEBRASKA,Total,"1,407","1,336","1,008",71.7,2.6,75.5,2.6,893,63.4,2.8,66.8,2.8,,,,,
NEBRASKA,18 to 24,190,180,115,60.5,7.8,63.8,7.9,95,50.1,8.0,52.9,8.2,,,,,
NEBRASKA,25 to 34,258,238,162,62.5,6.6,68.0,6.6,130,50.4,6.8,54.8,7.1,,,,,
NEBRASKA,35 to 44,212,191,146,69.1,7.0,76.5,6.7,131,62.0,7.3,68.7,7.4,,,,,
NEBRASKA,45 to 64,454,438,341,75.1,4.5,77.9,4.4,306,67.3,4.8,69.8,4.8,,,,,
NEBRASKA,65+,293,290,245,83.5,4.8,84.4,4.7,230,78.6,5.3,79.5,5.2,,,,,
NEVADA,Total,"2,234","1,975","1,371",61.4,2.7,69.4,2.7,"1,195",53.5,2.8,60.5,2.9,,,,,
NEVADA,18 to 24,261,229,124,47.3,8.1,53.9,8.6,98,37.6,7.8,42.9,8.5,,,,,
NEVADA,25 to 34,415,361,222,53.3,6.4,61.4,6.7,183,43.9,6.4,50.6,6.9,,,,,
NEVADA,35 to 44,365,305,220,60.3,6.7,72.1,6.7,186,50.9,6.8,60.9,7.3,,,,,
NEVADA,45 to 64,774,678,480,62.0,4.6,70.8,4.6,431,55.6,4.7,63.5,4.8,,,,,
NEVADA,65+,418,402,326,78.1,5.3,81.1,5.1,297,71.2,5.8,74.0,5.7,,,,,
NEW HAMPSHIRE,Total,"1,044","1,012",763,73.1,2.5,75.4,2.5,698,66.9,2.7,69.0,2.6,,,,,
NEW HAMPSHIRE,18 to 24,98,96,66,B,B,B,B,55,B,B,B,B,,,,,
NEW HAMPSHIRE,25 to 34,157,149,103,65.4,6.9,68.8,6.9,89,56.9,7.2,59.8,7.3,,,,,
NEW HAMPSHIRE,35 to 44,164,154,109,66.3,6.7,70.4,6.7,102,62.5,6.9,66.3,6.9,,,,,
NEW HAMPSHIRE,45 to 64,396,386,310,78.1,3.8,80.1,3.7,287,72.3,4.1,74.2,4.1,,,,,
NEW HAMPSHIRE,65+,228,225,175,76.9,5.1,77.8,5.0,165,72.3,5.4,73.2,5.4,,,,,
NEW JERSEY,Total,"6,862","5,958","4,165",60.7,1.9,69.9,2.0,"3,665",53.4,2.0,61.5,2.1,,,,,
NEW JERSEY,18 to 24,849,750,419,49.4,5.7,55.9,6.0,305,35.9,5.4,40.7,5.9,,,,,
NEW JERSEY,25 to 34,"1,046",814,507,48.5,5.1,62.3,5.6,426,40.7,5.0,52.3,5.8,,,,,
NEW JERSEY,35 to 44,"1,110",881,631,56.8,4.9,71.6,5.0,566,51.0,4.9,64.3,5.3,,,,,
NEW JERSEY,45 to 64,"2,474","2,196","1,615",65.3,3.2,73.5,3.1,"1,472",59.5,3.3,67.0,3.3,,,,,
NEW JERSEY,65+,"1,383","1,317",994,71.8,4.0,75.4,3.9,896,64.8,4.2,68.0,4.2,,,,,
NEW MEXICO,Total,"1,547","1,396",916,59.2,2.5,65.6,2.6,765,49.4,2.6,54.8,2.7,,,,,
NEW MEXICO,18 to 24,241,223,120,49.7,6.6,53.8,6.8,91,37.8,6.4,40.9,6.7,,,,,
NEW MEXICO,25 to 34,215,196,109,50.5,7.0,55.5,7.2,77,36.0,6.7,39.5,7.1,,,,,
NEW MEXICO,35 to 44,233,183,117,50.2,6.7,63.8,7.2,94,40.3,6.6,51.2,7.5,,,,,
NEW MEXICO,45 to 64,549,500,332,60.4,4.3,66.3,4.3,283,51.5,4.4,56.6,4.5,,,,,
NEW MEXICO,65+,309,294,239,77.3,4.9,81.2,4.6,220,71.1,5.3,74.7,5.2,,,,,
NEW YORK,Total,"15,506","13,751","9,142",59.0,1.3,66.5,1.4,"7,869",50.7,1.3,57.2,1.4,,,,,
NEW YORK,18 to 24,"1,756","1,590",832,47.4,4.0,52.3,4.2,607,34.6,3.8,38.2,4.1,,,,,
NEW YORK,25 to 34,"2,952","2,503","1,510",51.1,3.1,60.3,3.3,"1,276",43.2,3.1,51.0,3.4,,,,,
NEW YORK,35 to 44,"2,528","2,092","1,363",53.9,3.3,65.1,3.5,"1,153",45.6,3.3,55.1,3.6,,,,,
NEW YORK,45 to 64,"5,070","4,531","3,234",63.8,2.3,71.4,2.3,"2,875",56.7,2.3,63.4,2.4,,,,,
NEW YORK,65+,"3,201","3,035","2,204",68.8,2.7,72.6,2.7,"1,957",61.1,2.9,64.5,2.9,,,,,
NORTH CAROLINA,Total,"7,631","6,960","5,194",68.1,1.8,74.6,1.7,"4,700",61.6,1.9,67.5,1.9,,,,,
NORTH CAROLINA,18 to 24,924,817,505,54.7,5.5,61.8,5.7,414,44.8,5.5,50.7,5.8,,,,,
NORTH CAROLINA,25 to 34,"1,319","1,111",784,59.5,4.5,70.6,4.6,666,50.5,4.6,60.0,4.9,,,,,
NORTH CAROLINA,35 to 44,"1,180","1,037",754,63.9,4.7,72.8,4.6,676,57.3,4.8,65.2,4.9,,,,,
NORTH CAROLINA,45 to 64,"2,712","2,520","1,979",73.0,2.8,78.5,2.7,"1,841",67.9,3.0,73.1,3.0,,,,,
NORTH CAROLINA,65+,"1,496","1,476","1,172",78.4,3.6,79.4,3.5,"1,102",73.7,3.8,74.7,3.8,,,,,
NORTH DAKOTA,Total,583,564,424,72.8,2.4,75.2,2.4,362,62.1,2.6,64.2,2.6,,,,,
NORTH DAKOTA,18 to 24,79,78,47,B,B,B,B,37,B,B,B,B,,,,,
NORTH DAKOTA,25 to 34,124,117,83,66.7,5.5,71.2,5.5,70,56.2,5.8,60.0,5.9,,,,,
NORTH DAKOTA,35 to 44,90,87,65,B,B,B,B,56,B,B,B,B,,,,,
NORTH DAKOTA,45 to 64,192,187,153,79.6,3.8,81.5,3.7,132,68.7,4.4,70.3,4.4,,,,,
NORTH DAKOTA,65+,97,96,76,B,B,B,B,67,B,B,B,B,,,,,
OHIO,Total,"8,811","8,499","6,128",69.5,1.6,72.1,1.6,"5,408",61.4,1.7,63.6,1.7,,,,,
OHIO,18 to 24,"1,075","1,060",576,53.6,5.0,54.3,5.0,425,39.6,4.9,40.1,5.0,,,,,
OHIO,25 to 34,"1,425","1,276",859,60.2,4.3,67.3,4.3,718,50.4,4.4,56.3,4.6,,,,,
OHIO,35 to 44,"1,325","1,270",884,66.7,4.3,69.6,4.3,792,59.8,4.4,62.3,4.5,,,,,
OHIO,45 to 64,"3,061","2,997","2,271",74.2,2.6,75.8,2.6,"2,072",67.7,2.8,69.1,2.8,,,,,
OHIO,65+,"1,925","1,895","1,537",79.8,3.0,81.1,3.0,"1,402",72.8,3.3,74.0,3.3,,,,,
OKLAHOMA,Total,"2,923","2,746","1,861",63.7,2.8,67.8,2.8,"1,555",53.2,2.9,56.6,3.0,,,,,
OKLAHOMA,18 to 24,316,303,144,45.8,8.9,47.6,9.1,102,32.4,8.4,33.7,8.6,,,,,
OKLAHOMA,25 to 34,563,502,324,57.6,6.6,64.6,6.8,241,42.8,6.6,48.0,7.1,,,,,
OKLAHOMA,35 to 44,504,457,291,57.8,7.0,63.8,7.2,240,47.5,7.1,52.5,7.4,,,,,
OKLAHOMA,45 to 64,944,892,636,67.4,4.9,71.3,4.8,553,58.6,5.1,62.0,5.2,,,,,
OKLAHOMA,65+,597,593,465,78.0,5.4,78.5,5.4,419,70.2,6.0,70.7,5.9,,,,,
OREGON,Total,"3,185","2,929","2,147",67.4,2.6,73.3,2.6,"1,942",61.0,2.7,66.3,2.8,,,,,
OREGON,18 to 24,345,320,202,58.3,8.4,63.0,8.5,156,45.2,8.5,48.8,8.9,,,,,
OREGON,25 to 34,577,504,341,59.1,6.5,67.8,6.6,275,47.6,6.6,54.6,7.0,,,,,
OREGON,35 to 44,521,442,344,66.2,6.6,77.9,6.3,320,61.4,6.8,72.3,6.7,,,,,
OREGON,45 to 64,"1,044",977,724,69.3,4.5,74.0,4.4,679,65.1,4.7,69.5,4.7,,,,,
OREGON,65+,698,685,536,76.9,5.1,78.2,5.0,512,73.4,5.3,74.7,5.3,,,,,
PENNSYLVANIA,Total,"9,980","9,596","6,909",69.2,1.5,72.0,1.5,"6,008",60.2,1.6,62.6,1.6,,,,,
PENNSYLVANIA,18 to 24,"1,193","1,130",720,60.4,4.7,63.7,4.7,581,48.7,4.8,51.4,4.9,,,,,
PENNSYLVANIA,25 to 34,"1,649","1,525","1,026",62.2,4.0,67.3,4.0,837,50.8,4.1,54.9,4.2,,,,,
PENNSYLVANIA,35 to 44,"1,425","1,351",983,69.0,4.1,72.8,4.0,865,60.7,4.3,64.1,4.3,,,,,
PENNSYLVANIA,45 to 64,"3,471","3,382","2,536",73.1,2.5,75.0,2.5,"2,294",66.1,2.7,67.8,2.7,,,,,
PENNSYLVANIA,65+,"2,243","2,208","1,643",73.3,3.1,74.4,3.1,"1,431",63.8,3.4,64.8,3.4,,,,,
RHODE ISLAND,Total,836,766,538,64.4,2.7,70.3,2.7,464,55.5,2.8,60.6,2.9,,,,,
RHODE ISLAND,18 to 24,81,69,43,B,B,B,B,34,B,B,B,B,,,,,
RHODE ISLAND,25 to 34,148,137,93,62.7,6.5,67.6,6.5,74,49.7,6.7,53.6,6.9,,,,,
RHODE ISLAND,35 to 44,145,125,95,65.1,6.4,75.9,6.2,78,53.4,6.7,62.2,7.1,,,,,
RHODE ISLAND,45 to 64,284,263,184,64.8,4.6,69.9,4.6,169,59.5,4.7,64.2,4.8,,,,,
RHODE ISLAND,65+,178,172,124,69.7,5.6,72.0,5.6,111,62.4,5.9,64.4,5.9,,,,,
SOUTH CAROLINA,Total,"3,733","3,598","2,575",69.0,2.5,71.6,2.4,"2,233",59.8,2.6,62.1,2.6,,,,,
SOUTH CAROLINA,18 to 24,341,332,185,54.5,8.8,55.9,8.9,146,42.7,8.7,43.9,8.9,,,,,
SOUTH CAROLINA,25 to 34,635,585,366,57.7,6.4,62.6,6.5,288,45.4,6.4,49.3,6.7,,,,,
SOUTH CAROLINA,35 to 44,642,587,409,63.7,6.2,69.7,6.2,346,53.9,6.4,58.9,6.6,,,,,
SOUTH CAROLINA,45 to 64,"1,301","1,281",951,73.1,4.0,74.2,4.0,860,66.1,4.3,67.1,4.3,,,,,
SOUTH CAROLINA,65+,815,812,663,81.3,4.4,81.6,4.4,594,72.9,5.1,73.1,5.1,,,,,
SOUTH DAKOTA,Total,631,612,437,69.3,2.7,71.4,2.7,362,57.3,2.9,59.1,2.9,,,,,
SOUTH DAKOTA,18 to 24,84,81,41,B,B,B,B,26,B,B,B,B,,,,,
SOUTH DAKOTA,25 to 34,103,98,63,B,B,B,B,50,B,B,B,B,,,,,
SOUTH DAKOTA,35 to 44,94,90,61,B,B,B,B,52,B,B,B,B,,,,,
SOUTH DAKOTA,45 to 64,230,224,177,76.7,4.1,78.8,4.0,147,63.7,4.7,65.4,4.7,,,,,
SOUTH DAKOTA,65+,119,119,95,79.9,5.4,79.9,5.4,88,73.9,5.9,73.9,5.9,,,,,
TENNESSEE,Total,"5,057","4,872","3,251",64.3,2.2,66.7,2.2,"2,630",52.0,2.3,54.0,2.3,,,,,
TENNESSEE,18 to 24,523,503,235,45.0,7.1,46.8,7.3,156,29.9,6.6,31.1,6.8,,,,,
TENNESSEE,25 to 34,971,903,520,53.5,5.3,57.6,5.4,379,39.1,5.1,42.0,5.4,,,,,
TENNESSEE,35 to 44,777,741,513,66.0,5.6,69.2,5.6,411,52.9,5.9,55.5,6.0,,,,,
TENNESSEE,45 to 64,"1,720","1,674","1,187",69.0,3.7,70.9,3.6,"1,008",58.6,3.9,60.2,3.9,,,,,
TENNESSEE,65+,"1,065","1,052",797,74.8,4.4,75.7,4.3,676,63.4,4.8,64.2,4.9,,,,,
TEXAS,Total,"20,172","17,378","11,724",58.1,1.2,67.5,1.2,"9,626",47.7,1.2,55.4,1.3,,,,,
TEXAS,18 to 24,"2,542","2,175","1,036",40.8,3.2,47.6,3.6,694,27.3,2.9,31.9,3.3,,,,,
TEXAS,25 to 34,"3,950","3,186","1,918",48.6,2.6,60.2,2.9,"1,483",37.5,2.6,46.5,2.9,,,,,
TEXAS,35 to 44,"3,764","3,008","2,033",54.0,2.7,67.6,2.8,"1,617",42.9,2.7,53.7,3.0,,,,,
TEXAS,45 to 64,"6,450","5,743","4,181",64.8,2.0,72.8,2.0,"3,579",55.5,2.1,62.3,2.1,,,,,
TEXAS,65+,"3,465","3,265","2,556",73.7,2.5,78.3,2.4,"2,254",65.0,2.7,69.0,2.7,,,,,
UTAH,Total,"2,096","1,969","1,398",66.7,2.3,71.0,2.2,"1,234",58.9,2.4,62.7,2.4,,,,,
UTAH,18 to 24,342,326,171,50.0,5.9,52.4,6.1,142,41.6,5.9,43.6,6.0,,,,,
UTAH,25 to 34,416,388,243,58.5,5.3,62.7,5.4,201,48.3,5.4,51.8,5.6,,,,,
UTAH,35 to 44,416,373,276,66.3,5.1,73.9,5.0,243,58.5,5.3,65.2,5.4,,,,,
UTAH,45 to 64,586,549,432,73.7,4.0,78.7,3.8,393,67.0,4.3,71.5,4.2,,,,,
UTAH,65+,336,333,276,82.0,4.6,82.9,4.5,255,75.8,5.1,76.6,5.1,,,,,
VERMONT,Total,500,488,351,70.2,2.8,71.9,2.8,305,61.0,3.0,62.5,3.0,,,,,
VERMONT,18 to 24,57,55,34,B,B,B,B,26,B,B,B,B,,,,,
VERMONT,25 to 34,77,75,43,B,B,B,B,35,B,B,B,B,,,,,
VERMONT,35 to 44,72,70,50,B,B,B,B,42,B,B,B,B,,,,,
VERMONT,45 to 64,181,177,133,73.7,4.5,75.3,4.5,118,65.0,4.9,66.5,4.9,,,,,
VERMONT,65+,112,111,91,81.0,5.1,82.2,5.0,85,75.9,5.6,77.1,5.5,,,,,
VIRGINIA,Total,"6,343","5,829","4,399",69.4,1.9,75.5,1.9,"3,973",62.6,2.0,68.2,2.0,,,,,
VIRGINIA,18 to 24,819,737,501,61.1,5.7,67.9,5.8,447,54.6,5.8,60.7,6.0,,,,,
VIRGINIA,25 to 34,"1,118",993,640,57.2,5.0,64.4,5.1,549,49.1,5.0,55.3,5.3,,,,,
VIRGINIA,35 to 44,982,833,651,66.3,5.1,78.1,4.8,573,58.3,5.3,68.8,5.4,,,,,
VIRGINIA,45 to 64,"2,144","2,023","1,612",75.2,3.1,79.7,3.0,"1,500",70.0,3.3,74.2,3.3,,,,,
VIRGINIA,65+,"1,279","1,244",996,77.8,3.9,80.0,3.8,903,70.6,4.3,72.6,4.2,,,,,
WASHINGTON,Total,"5,592","5,104","3,906",69.9,2.0,76.5,2.0,"3,382",60.5,2.2,66.3,2.2,,,,,
WASHINGTON,18 to 24,646,594,351,54.4,6.5,59.1,6.7,273,42.2,6.5,45.9,6.8,,,,,
WASHINGTON,25 to 34,987,848,587,59.4,5.2,69.2,5.3,460,46.5,5.3,54.2,5.7,,,,,
WASHINGTON,35 to 44,"1,014",876,676,66.7,4.9,77.2,4.7,564,55.6,5.2,64.4,5.4,,,,,
WASHINGTON,45 to 64,"1,986","1,859","1,523",76.7,3.2,81.9,3.0,"1,366",68.8,3.5,73.5,3.4,,,,,
WASHINGTON,65+,958,927,769,80.3,4.3,83.0,4.1,720,75.1,4.6,77.6,4.6,,,,,
WEST VIRGINIA,Total,"1,434","1,425",913,63.6,2.8,64.1,2.8,723,50.4,2.9,50.8,2.9,,,,,
WEST VIRGINIA,18 to 24,155,153,78,50.3,8.7,50.7,8.8,50,32.2,8.2,32.5,8.2,,,,,
WEST VIRGINIA,25 to 34,226,225,141,62.3,7.0,62.7,7.0,98,43.5,7.2,43.8,7.2,,,,,
WEST VIRGINIA,35 to 44,206,204,116,56.3,7.5,57.1,7.5,96,46.6,7.6,47.2,7.6,,,,,
WEST VIRGINIA,45 to 64,513,509,329,64.2,4.6,64.7,4.6,268,52.2,4.8,52.6,4.8,,,,,
WEST VIRGINIA,65+,334,334,249,74.3,5.2,74.5,5.2,211,63.1,5.7,63.3,5.7,,,,,
WISCONSIN,Total,"4,465","4,354","3,323",74.4,2.2,76.3,2.1,"3,068",68.7,2.3,70.5,2.3,,,,,
WISCONSIN,18 to 24,547,530,269,49.2,7.1,50.7,7.2,249,45.6,7.1,47.1,7.2,,,,,
WISCONSIN,25 to 34,704,678,436,62.0,6.1,64.3,6.1,370,52.6,6.2,54.6,6.3,,,,,
WISCONSIN,35 to 44,724,701,573,79.1,5.0,81.8,4.8,527,72.7,5.5,75.2,5.4,,,,,
WISCONSIN,45 to 64,"1,520","1,479","1,236",81.3,3.3,83.5,3.2,"1,169",76.9,3.6,79.0,3.5,,,,,
WISCONSIN,65+,970,966,809,83.4,4.0,83.8,3.9,753,77.6,4.4,77.9,4.4,,,,,
WYOMING,Total,436,427,304,69.7,2.7,71.1,2.7,277,63.5,2.8,64.8,2.8,,,,,
WYOMING,18 to 24,57,55,33,B,B,B,B,30,B,B,B,B,,,,,
WYOMING,25 to 34,75,73,47,B,B,B,B,42,B,B,B,B,,,,,
WYOMING,35 to 44,70,68,46,B,B,B,B,40,B,B,B,B,,,,,
WYOMING,45 to 64,151,148,110,72.9,4.4,74.2,4.4,102,67.4,4.7,68.6,4.7,,,,,
WYOMING,65+,83,83,68,B,B,B,B,63,B,B,B,B,,,,,