STATE,"Sex, Race and Hispanic-Origin",Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
IOWA,Asian alone or in combination,68,32,17,B,B,B,B,13,B,B,B,B,,,,,
KANSAS,Total,"2,142","2,029","1,438",67.1,2.8,70.9,2.8,"1,243",58.0,3.0,61.3,3.0,,,,,
KANSAS,Male,"1,048",992,671,64.0,4.1,67.6,4.1,570,54.4,4.3,57.5,4.3,,,,,
KANSAS,Female,"1,094","1,036",767,70.1,3.8,74.0,3.8,673,61.5,4.1,64.9,4.1,,,,,
KANSAS,White alone,"1,883","1,798","1,307",69.4,2.9,72.7,2.9,"1,149",61.0,3.1,63.9,3.1,,,,,
KANSAS,White non-Hispanic alone,"1,678","1,672","1,244",74.1,3.0,74.4,3.0,"1,091",65.0,3.2,65.3,3.2,,,,,
KANSAS,Black alone,121,121,75,61.8,14.8,61.8,14.8,54,44.5,15.1,44.5,15.1,,,,,
KANSAS,Asian alone,59,31,15,B,B,B,B,7,B,B,B,B,,,,,
KANSAS,Hispanic (of any race),217,138,76,34.9,14.1,54.7,18.4,68,31.2,13.7,48.9,18.5,,,,,
KANSAS,White alone or in combination,"1,923","1,838","1,335",69.4,2.9,72.6,2.9,"1,170",60.8,3.1,63.6,3.1,,,,,
KANSAS,Black alone or in combination,136,136,82,60.4,14.0,60.4,14.0,56,41.2,14.1,41.2,14.1,,,,,
KANSAS,Asian alone or in combination,64,36,19,B,B,B,B,11,B,B,B,B,,,,,
KENTUCKY,Total,"3,348","3,246","2,253",67.3,2.7,69.4,2.7,"1,850",55.3,2.8,57.0,2.9,,,,,
KENTUCKY,Male,"1,614","1,550","1,035",64.1,4.0,66.8,4.0,861,53.3,4.1,55.5,4.2,,,,,
KENTUCKY,Female,"1,734","1,697","1,218",70.3,3.6,71.8,3.6,989,57.0,3.9,58.3,4.0,,,,,
KENTUCKY,White alone,"3,014","2,953","2,038",67.6,2.8,69.0,2.8,"1,669",55.4,3.0,56.5,3.0,,,,,
KENTUCKY,White non-Hispanic alone,"2,892","2,881","1,998",69.1,2.8,69.3,2.8,"1,634",56.5,3.1,56.7,3.1,,,,,
KENTUCKY,Black alone,250,231,187,74.9,11.0,81.2,10.3,159,63.7,12.2,69.1,12.2,,,,,
KENTUCKY,Asian alone,28,14,3,B,B,B,B,3,B,B,B,B,,,,,
KENTUCKY,Hispanic (of any race),138,79,44,B,B,B,B,38,B,B,B,B,,,,,
KENTUCKY,White alone or in combination,"3,052","2,991","2,055",67.3,2.8,68.7,2.8,"1,680",55.0,3.0,56.1,3.0,,,,,
KENTUCKY,Black alone or in combination,281,262,210,74.5,10.4,80.0,9.9,175,62.3,11.6,66.9,11.7,,,,,
KENTUCKY,Asian alone or in combination,36,23,8,B,B,B,B,8,B,B,B,B,,,,,
LOUISIANA,Total,"3,463","3,353","2,446",70.6,2.5,73.0,2.4,"2,067",59.7,2.6,61.6,2.7,,,,,
LOUISIANA,Male,"1,650","1,580","1,119",67.8,3.6,70.8,3.6,925,56.1,3.9,58.5,3.9,,,,,
LOUISIANA,Female,"1,813","1,773","1,327",73.2,3.3,74.8,3.3,"1,142",63.0,3.6,64.4,3.6,,,,,
LOUISIANA,White alone,"2,251","2,193","1,631",72.4,3.0,74.4,3.0,"1,368",60.8,3.3,62.4,3.3,,,,,
LOUISIANA,White non-Hispanic alone,"2,112","2,100","1,557",73.7,3.0,74.2,3.0,"1,311",62.1,3.3,62.5,3.3,,,,,
LOUISIANA,Black alone,"1,062","1,054",755,71.1,5.3,71.6,5.3,646,60.9,5.7,61.3,5.8,,,,,
LOUISIANA,Asian alone,101,65,26,B,B,B,B,23,B,B,B,B,,,,,
LOUISIANA,Hispanic (of any race),174,121,99,56.7,18.7,81.5,17.6,82,47.2,18.9,67.9,21.1,,,,,
LOUISIANA,White alone or in combination,"2,275","2,216","1,652",72.6,3.0,74.6,2.9,"1,386",60.9,3.2,62.5,3.3,,,,,
LOUISIANA,Black alone or in combination,"1,078","1,070",771,71.5,5.3,72.0,5.3,661,61.3,5.7,61.8,5.7,,,,,
LOUISIANA,Asian alone or in combination,103,67,26,B,B,B,B,23,B,B,B,B,,,,,
MAINE,Total,"1,058","1,038",830,78.5,2.5,80.0,2.5,754,71.3,2.8,72.7,2.8,,,,,
MAINE,Male,510,500,388,76.1,3.8,77.5,3.7,347,68.1,4.1,69.3,4.1,,,,,
MAINE,Female,548,537,442,80.7,3.4,82.3,3.3,408,74.3,3.7,75.8,3.7,,,,,
MAINE,White alone,"1,001",988,793,79.2,2.6,80.3,2.5,720,71.9,2.8,72.9,2.8,,,,,
MAINE,White non-Hispanic alone,982,972,786,80.1,2.5,80.9,2.5,713,72.6,2.8,73.3,2.8,,,,,
MAINE,Black alone,13,10,9,B,B,B,B,7,B,B,B,B,,,,,
MAINE,Asian alone,11,8,6,B,B,B,B,5,B,B,B,B,,,,,
MAINE,Hispanic (of any race),20,16,7,B,B,B,B,7,B,B,B,B,,,,,
MAINE,White alone or in combination,"1,026","1,013",811,79.0,2.5,80.0,2.5,738,71.9,2.8,72.8,2.8,,,,,
MAINE,Black alone or in combination,17,14,9,B,B,B,B,7,B,B,B,B,,,,,
MAINE,Asian alone or in combination,13,9,7,B,B,B,B,6,B,B,B,B,,,,,
MARYLAND,Total,"4,623","4,158","3,114",67.3,2.3,74.9,2.3,"2,737",59.2,2.4,65.8,2.5,,,,,
MARYLAND,Male,"2,203","1,963","1,454",66.0,3.4,74.1,3.3,"1,253",56.9,3.5,63.8,3.6,,,,,
MARYLAND,Female,"2,420","2,194","1,659",68.6,3.2,75.6,3.1,"1,484",61.3,3.3,67.6,3.4,,,,,
MARYLAND,White alone,"2,784","2,593","1,975",70.9,2.9,76.2,2.8,"1,727",62.0,3.1,66.6,3.1,,,,,
MARYLAND,White non-Hispanic alone,"2,434","2,392","1,829",75.2,2.9,76.5,2.9,"1,605",65.9,3.2,67.1,3.2,,,,,
MARYLAND,Black alone,"1,386","1,289",954,68.9,5.1,74.0,5.0,858,61.9,5.3,66.6,5.3,,,,,
MARYLAND,Asian alone,349,213,147,42.0,11.2,69.1,13.4,117,33.4,10.7,54.9,14.5,,,,,
MARYLAND,Hispanic (of any race),450,250,170,37.9,12.1,68.2,15.5,148,32.8,11.7,59.1,16.4,,,,,
MARYLAND,White alone or in combination,"2,820","2,629","2,002",71.0,2.9,76.2,2.8,"1,752",62.1,3.1,66.6,3.1,,,,,
MARYLAND,Black alone or in combination,"1,421","1,324",984,69.2,5.0,74.3,4.9,884,62.2,5.2,66.8,5.3,,,,,
MARYLAND,Asian alone or in combination,349,213,147,42.0,11.2,69.1,13.4,117,33.4,10.7,54.9,14.5,,,,,
MASSACHUSETTS,Total,"5,374","4,967","3,660",68.1,2.1,73.7,2.0,"3,315",61.7,2.2,66.7,2.2,,,,,
MASSACHUSETTS,Male,"2,585","2,382","1,767",68.3,3.0,74.2,2.9,"1,599",61.9,3.1,67.1,3.1,,,,,
MASSACHUSETTS,Female,"2,788","2,585","1,893",67.9,2.9,73.2,2.8,"1,715",61.5,3.0,66.4,3.0,,,,,
MASSACHUSETTS,White alone,"4,464","4,260","3,229",72.3,2.2,75.8,2.1,"2,919",65.4,2.3,68.5,2.3,,,,,
MASSACHUSETTS,White non-Hispanic alone,"4,083","3,969","3,078",75.4,2.2,77.5,2.2,"2,789",68.3,2.4,70.3,2.4,,,,,
MASSACHUSETTS,Black alone,438,368,266,60.8,9.2,72.4,9.2,242,55.3,9.4,65.8,9.8,,,,,
MASSACHUSETTS,Asian alone,353,238,128,36.3,10.6,53.8,13.4,121,34.2,10.4,50.8,13.4,,,,,
MASSACHUSETTS,Hispanic (of any race),500,397,199,39.8,11.2,50.1,12.9,177,35.4,11.0,44.6,12.8,,,,,
MASSACHUSETTS,White alone or in combination,"4,573","4,357","3,263",71.4,2.2,74.9,2.1,"2,950",64.5,2.3,67.7,2.3,,,,,
MASSACHUSETTS,Black alone or in combination,513,431,284,55.4,8.7,65.9,9.0,260,50.7,8.7,60.3,9.3,,,,,
MASSACHUSETTS,Asian alone or in combination,369,254,133,36.0,10.3,52.4,12.9,126,34.1,10.2,49.5,13.0,,,,,
MICHIGAN,Total,"7,624","7,332","5,434",71.3,1.7,74.1,1.7,"4,713",61.8,1.8,64.3,1.8,,,,,
MICHIGAN,Male,"3,650","3,473","2,540",69.6,2.5,73.1,2.5,"2,150",58.9,2.7,61.9,2.7,,,,,
MICHIGAN,Female,"3,974","3,859","2,893",72.8,2.3,75.0,2.3,"2,563",64.5,2.5,66.4,2.5,,,,,
MICHIGAN,White alone,"6,264","6,071","4,579",73.1,1.8,75.4,1.8,"3,984",63.6,2.0,65.6,2.0,,,,,
MICHIGAN,White non-Hispanic alone,"6,006","5,890","4,498",74.9,1.8,76.4,1.8,"3,914",65.2,2.0,66.5,2.0,,,,,
MICHIGAN,Black alone,"1,039","1,020",708,68.1,5.8,69.4,5.8,623,59.9,6.1,61.0,6.1,,,,,
MICHIGAN,Asian alone,182,108,63,34.5,14.7,58.3,19.8,58,32.0,14.4,54.2,20.0,,,,,
MICHIGAN,Hispanic (of any race),288,206,101,35.0,14.6,49.0,18.1,74,25.7,13.3,36.0,17.3,,,,,
MICHIGAN,White alone or in combination,"6,365","6,167","4,648",73.0,1.8,75.4,1.8,"4,021",63.2,2.0,65.2,2.0,,,,,
MICHIGAN,Black alone or in combination,"1,100","1,080",752,68.4,5.6,69.6,5.6,642,58.4,5.9,59.4,6.0,,,,,
MICHIGAN,Asian alone or in combination,192,113,63,32.7,14.1,55.6,19.5,58,30.4,13.8,51.7,19.6,,,,,
MINNESOTA,Total,"4,190","3,985","3,055",72.9,2.3,76.7,2.2,"2,738",65.3,2.4,68.7,2.4,,,,,
MINNESOTA,Male,"2,063","1,952","1,457",70.6,3.3,74.6,3.3,"1,312",63.6,3.5,67.2,3.5,,,,,
MINNESOTA,Female,"2,127","2,033","1,598",75.1,3.1,78.6,3.0,"1,426",67.1,3.4,70.2,3.4,,,,,
MINNESOTA,White alone,"3,614","3,506","2,723",75.4,2.4,77.7,2.3,"2,457",68.0,2.6,70.1,2.6,,,,,
MINNESOTA,White non-Hispanic alone,"3,425","3,405","2,680",78.2,2.3,78.7,2.3,"2,417",70.6,2.6,71.0,2.6,,,,,
MINNESOTA,Black alone,193,169,126,65.3,13.7,74.7,13.4,112,58.0,14.2,66.3,14.6,,,,,
MINNESOTA,Asian alone,172,124,79,46.1,15.9,63.7,18.1,64,37.4,15.5,51.6,18.8,,,,,
MINNESOTA,Hispanic (of any race),255,136,54,21.0,13.3,39.6,21.9,50,19.4,12.9,36.6,21.5,,,,,
MINNESOTA,White alone or in combination,"3,671","3,563","2,756",75.1,2.4,77.4,2.3,"2,489",67.8,2.6,69.9,2.5,,,,,
MINNESOTA,Black alone or in combination,201,176,134,66.6,13.4,75.8,12.9,120,59.6,13.9,67.7,14.1,,,,,
MINNESOTA,Asian alone or in combination,196,148,97,49.8,15.0,65.7,16.3,82,42.1,14.8,55.6,17.1,,,,,
MISSISSIPPI,Total,"2,203","2,170","1,725",78.3,2.3,79.5,2.2,"1,470",66.7,2.6,67.7,2.6,,,,,
MISSISSIPPI,Male,"1,026","1,010",780,76.0,3.5,77.2,3.4,657,64.0,3.9,65.0,3.9,,,,,
MISSISSIPPI,Female,"1,177","1,160",945,80.3,3.0,81.5,3.0,813,69.1,3.5,70.1,3.5,,,,,
MISSISSIPPI,White alone,"1,377","1,355","1,070",77.7,2.9,79.0,2.9,918,66.7,3.3,67.8,3.3,,,,,
MISSISSIPPI,White non-Hispanic alone,"1,345","1,339","1,056",78.5,2.9,78.8,2.9,907,67.4,3.3,67.7,3.3,,,,,
MISSISSIPPI,Black alone,782,777,632,80.9,4.4,81.4,4.4,537,68.7,5.2,69.1,5.2,,,,,
MISSISSIPPI,Asian alone,18,13,8,B,B,B,B,6,B,B,B,B,,,,,
MISSISSIPPI,Hispanic (of any race),41,23,18,B,B,B,B,15,B,B,B,B,,,,,
MISSISSIPPI,White alone or in combination,"1,394","1,371","1,081",77.6,2.9,78.9,2.9,923,66.2,3.3,67.3,3.3,,,,,
MISSISSIPPI,Black alone or in combination,791,786,639,80.8,4.4,81.3,4.4,544,68.8,5.2,69.2,5.2,,,,,
MISSISSIPPI,Asian alone or in combination,22,18,10,B,B,B,B,6,B,B,B,B,,,,,
MISSOURI,Total,"4,626","4,486","3,333",72.1,2.2,74.3,2.2,"2,906",62.8,2.4,64.8,2.4,,,,,
MISSOURI,Male,"2,231","2,159","1,534",68.8,3.3,71.1,3.3,"1,328",59.5,3.5,61.5,3.5,,,,,
MISSOURI,Female,"2,395","2,328","1,799",75.1,3.0,77.3,2.9,"1,577",65.9,3.2,67.8,3.2,,,,,
MISSOURI,White alone,"3,957","3,860","2,886",72.9,2.4,74.8,2.3,"2,529",63.9,2.6,65.5,2.6,,,,,
MISSOURI,White non-Hispanic alone,"3,808","3,779","2,832",74.4,2.4,75.0,2.4,"2,485",65.2,2.6,65.8,2.6,,,,,
MISSOURI,Black alone,491,491,385,78.4,7.5,78.4,7.5,325,66.2,8.6,66.2,8.6,,,,,
MISSOURI,Asian alone,77,34,21,B,B,B,B,21,B,B,B,B,,,,,
MISSOURI,Hispanic (of any race),160,93,59,B,B,B,B,50,B,B,B,B,,,,,
MISSOURI,White alone or in combination,"4,015","3,919","2,898",72.2,2.4,73.9,2.3,"2,538",63.2,2.5,64.8,2.5,,,,,
MISSOURI,Black alone or in combination,532,532,414,77.9,7.3,77.9,7.3,348,65.5,8.3,65.5,8.3,,,,,
MISSOURI,Asian alone or in combination,81,38,25,B,B,B,B,25,B,B,B,B,,,,,
MONTANA,Total,798,790,581,72.8,2.3,73.5,2.3,521,65.2,2.4,65.9,2.4,,,,,
MONTANA,Male,399,396,287,71.9,3.2,72.5,3.2,256,64.0,3.5,64.6,3.5,,,,,
MONTANA,Female,399,395,294,73.7,3.2,74.4,3.2,265,66.5,3.4,67.2,3.4,,,,,
MONTANA,White alone,738,735,542,73.4,2.3,73.8,2.3,492,66.7,2.5,67.0,2.5,,,,,
MONTANA,White non-Hispanic alone,721,718,532,73.8,2.4,74.1,2.4,483,67.0,2.5,67.3,2.5,,,,,
MONTANA,Black alone,5,3,2,B,B,B,B,2,B,B,B,B,,,,,
MONTANA,Asian alone,7,5,3,B,B,B,B,2,B,B,B,B,,,,,
MONTANA,Hispanic (of any race),20,19,12,B,B,B,B,11,B,B,B,B,,,,,
MONTANA,White alone or in combination,754,751,554,73.4,2.3,73.7,2.3,504,66.7,2.5,67.1,2.5,,,,,
MONTANA,Black alone or in combination,8,5,4,B,B,B,B,4,B,B,B,B,,,,,
MONTANA,Asian alone or in combination,8,7,3,B,B,B,B,3,B,B,B,B,,,,,
NEBRASKA,Total,"1,407","1,336","1,008",71.7,2.6,75.5,2.6,893,63.4,2.8,66.8,2.8,,,,,
NEBRASKA,Male,696,661,480,68.9,3.9,72.6,3.8,419,60.2,4.1,63.4,4.1,,,,,
NEBRASKA,Female,711,676,529,74.3,3.6,78.2,3.5,474,66.6,3.9,70.1,3.9,,,,,
NEBRASKA,White alone,"1,253","1,202",927,74.0,2.7,77.1,2.7,837,66.8,2.9,69.6,2.9,,,,,
NEBRASKA,White non-Hispanic alone,"1,150","1,138",882,76.7,2.7,77.5,2.7,800,69.6,3.0,70.3,3.0,,,,,
NEBRASKA,Black alone,56,52,41,B,B,B,B,30,B,B,B,B,,,,,
NEBRASKA,Asian alone,35,23,12,B,B,B,B,7,B,B,B,B,,,,,
NEBRASKA,Hispanic (of any race),109,65,47,B,B,B,B,37,B,B,B,B,,,,,
NEBRASKA,White alone or in combination,"1,280","1,228",938,73.2,2.7,76.3,2.7,844,65.9,2.9,68.7,2.9,,,,,
NEBRASKA,Black alone or in combination,63,58,42,B,B,B,B,31,B,B,B,B,,,,,
NEBRASKA,Asian alone or in combination,35,23,12,B,B,B,B,7,B,B,B,B,,,,,
NEVADA,Total,"2,234","1,975","1,371",61.4,2.7,69.4,2.7,"1,195",53.5,2.8,60.5,2.9,,,,,
NEVADA,Male,"1,098",974,663,60.4,3.9,68.0,3.9,570,51.9,3.9,58.5,4.1,,,,,
NEVADA,Female,"1,136","1,001",708,62.4,3.8,70.8,3.8,625,55.0,3.9,62.4,4.0,,,,,
NEVADA,White alone,"1,730","1,537","1,076",62.2,3.0,70.0,3.1,948,54.8,3.1,61.7,3.2,,,,,
NEVADA,White non-Hispanic alone,"1,275","1,236",879,69.0,3.4,71.1,3.4,781,61.3,3.6,63.2,3.6,,,,,
NEVADA,Black alone,182,169,122,67.3,11.0,72.3,10.9,110,60.7,11.5,65.1,11.6,,,,,
NEVADA,Asian alone,198,163,91,46.0,11.7,56.0,12.8,72,36.5,11.3,44.4,12.8,,,,,
NEVADA,Hispanic (of any race),517,346,234,45.3,9.0,67.7,10.3,196,37.9,8.8,56.6,10.9,,,,,
NEVADA,White alone or in combination,"1,775","1,581","1,109",62.5,3.0,70.2,3.0,977,55.1,3.1,61.8,3.2,,,,,
NEVADA,Black alone or in combination,204,191,143,70.2,10.1,74.7,9.9,128,62.9,10.7,67.1,10.7,,,,,
NEVADA,Asian alone or in combination,214,178,99,46.2,11.2,55.3,12.3,78,36.4,10.9,43.6,12.2,,,,,
NEW HAMPSHIRE,Total,"1,044","1,012",763,73.1,2.5,75.4,2.5,698,66.9,2.7,69.0,2.6,,,,,
NEW HAMPSHIRE,Male,509,494,359,70.6,3.7,72.7,3.6,327,64.3,3.9,66.2,3.9,,,,,
NEW HAMPSHIRE,Female,535,518,404,75.4,3.4,77.9,3.3,371,69.3,3.6,71.6,3.6,,,,,
NEW HAMPSHIRE,White alone,990,973,740,74.7,2.5,76.0,2.5,677,68.4,2.7,69.6,2.7,,,,,
NEW HAMPSHIRE,White non-Hispanic alone,976,964,733,75.2,2.5,76.1,2.5,672,68.9,2.7,69.7,2.7,,,,,
NEW HAMPSHIRE,Black alone,11,9,5,B,B,B,B,5,B,B,B,B,,,,,
NEW HAMPSHIRE,Asian alone,27,16,9,B,B,B,B,9,B,B,B,B,,,,,
NEW HAMPSHIRE,Hispanic (of any race),19,11,9,B,B,B,B,7,B,B,B,B,,,,,
NEW HAMPSHIRE,White alone or in combination,"1,002",984,746,74.5,2.5,75.9,2.5,681,68.0,2.7,69.3,2.7,,,,,
NEW HAMPSHIRE,Black alone or in combination,16,13,8,B,B,B,B,5,B,B,B,B,,,,,
NEW HAMPSHIRE,Asian alone or in combination,28,17,11,B,B,B,B,11,B,B,B,B,,,,,
NEW JERSEY,Total,"6,862","5,958","4,165",60.7,1.9,69.9,2.0,"3,665",53.4,2.0,61.5,2.1,,,,,
NEW JERSEY,Male,"3,282","2,825","1,911",58.2,2.8,67.6,2.9,"1,668",50.8,2.9,59.1,3.1,,,,,
NEW JERSEY,Female,"3,580","3,132","2,255",63.0,2.7,72.0,2.6,"1,997",55.8,2.7,63.7,2.8,,,,,
NEW JERSEY,White alone,"5,237","4,669","3,349",64.0,2.2,71.7,2.2,"2,961",56.6,2.3,63.4,2.3,,,,,
NEW JERSEY,White non-Hispanic alone,"4,048","3,891","2,933",72.5,2.3,75.4,2.3,"2,604",64.3,2.5,66.9,2.5,,,,,
NEW JERSEY,Black alone,964,814,550,57.0,6.4,67.5,6.6,469,48.7,6.4,57.6,6.9,,,,,
NEW JERSEY,Asian alone,579,399,220,38.0,8.4,55.2,10.4,211,36.4,8.3,52.9,10.4,,,,,
NEW JERSEY,Hispanic (of any race),"1,379",913,486,35.2,6.7,53.2,8.6,395,28.6,6.3,43.2,8.5,,,,,
NEW JERSEY,White alone or in combination,"5,274","4,702","3,374",64.0,2.2,71.7,2.2,"2,982",56.5,2.3,63.4,2.3,,,,,
NEW JERSEY,Black alone or in combination,977,824,553,56.7,6.3,67.2,6.5,469,48.0,6.4,56.9,6.9,,,,,
NEW JERSEY,Asian alone or in combination,602,422,238,39.6,8.3,56.4,10.1,229,38.0,8.2,54.2,10.1,,,,,
NEW MEXICO,Total,"1,547","1,396",916,59.2,2.5,65.6,2.6,765,49.4,2.6,54.8,2.7,,,,,
NEW MEXICO,Male,749,669,416,55.5,3.7,62.1,3.8,342,45.7,3.7,51.1,3.9,,,,,
NEW MEXICO,Female,798,727,500,62.7,3.5,68.8,3.5,423,53.0,3.6,58.2,3.7,,,,,
NEW MEXICO,White alone,"1,183","1,053",722,61.1,2.9,68.6,2.9,620,52.4,3.0,58.8,3.1,,,,,
NEW MEXICO,White non-Hispanic alone,554,543,420,75.8,3.7,77.3,3.7,376,67.8,4.0,69.2,4.0,,,,,
NEW MEXICO,Black alone,42,40,26,B,B,B,B,22,B,B,B,B,,,,,
NEW MEXICO,Asian alone,32,27,16,B,B,B,B,14,B,B,B,B,,,,,
NEW MEXICO,Hispanic (of any race),705,571,340,48.3,6.0,59.6,6.6,276,39.1,5.9,48.2,6.7,,,,,
NEW MEXICO,White alone or in combination,"1,211","1,074",738,61.0,2.9,68.7,2.9,635,52.4,2.9,59.1,3.1,,,,,
NEW MEXICO,Black alone or in combination,57,51,33,B,B,B,B,28,B,B,B,B,,,,,
NEW MEXICO,Asian alone or in combination,36,31,18,B,B,B,B,16,B,B,B,B,,,,,
NEW YORK,Total,"15,506","13,751","9,142",59.0,1.3,66.5,1.4,"7,869",50.7,1.3,57.2,1.4,,,,,
NEW YORK,Male,"7,389","6,513","4,225",57.2,1.9,64.9,2.0,"3,592",48.6,2.0,55.2,2.1,,,,,
NEW YORK,Female,"8,116","7,238","4,917",60.6,1.8,67.9,1.8,"4,277",52.7,1.9,59.1,1.9,,,,,
NEW YORK,White alone,"11,101","10,159","6,997",63.0,1.5,68.9,1.5,"6,049",54.5,1.6,59.5,1.6,,,,,
NEW YORK,White non-Hispanic alone,"9,270","8,870","6,264",67.6,1.6,70.6,1.6,"5,418",58.4,1.7,61.1,1.7,,,,,
NEW YORK,Black alone,"2,610","2,321","1,570",60.2,3.9,67.6,3.9,"1,350",51.7,4.0,58.2,4.2,,,,,
NEW YORK,Asian alone,"1,547","1,059",430,27.8,4.8,40.6,6.4,365,23.6,4.6,34.5,6.2,,,,,
NEW YORK,Hispanic (of any race),"2,346","1,735","1,044",44.5,5.4,60.2,6.2,878,37.4,5.3,50.6,6.3,,,,,
NEW YORK,White alone or in combination,"11,193","10,241","7,040",62.9,1.5,68.7,1.5,"6,089",54.4,1.6,59.5,1.6,,,,,
NEW YORK,Black alone or in combination,"2,692","2,387","1,607",59.7,3.8,67.3,3.9,"1,374",51.0,3.9,57.6,4.1,,,,,
NEW YORK,Asian alone or in combination,"1,561","1,073",443,28.4,4.8,41.3,6.4,379,24.3,4.6,35.4,6.2,,,,,
NORTH CAROLINA,Total,"7,631","6,960","5,194",68.1,1.8,74.6,1.7,"4,700",61.6,1.9,67.5,1.9,,,,,
NORTH CAROLINA,Male,"3,596","3,243","2,414",67.1,2.6,74.4,2.6,"2,181",60.6,2.7,67.2,2.8,,,,,
NORTH CAROLINA,Female,"4,034","3,717","2,780",68.9,2.4,74.8,2.4,"2,519",62.4,2.5,67.8,2.6,,,,,
NORTH CAROLINA,White alone,"5,480","4,997","3,776",68.9,2.1,75.6,2.0,"3,412",62.3,2.2,68.3,2.2,,,,,
