STATE,"Sex, Race and Hispanic-Origin",Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
NORTH CAROLINA,White non-Hispanic alone,"4,740","4,679","3,595",75.8,2.1,76.8,2.1,"3,253",68.6,2.3,69.5,2.2,,,,,
NORTH CAROLINA,Black alone,"1,625","1,582","1,191",73.3,4.4,75.3,4.4,"1,094",67.3,4.7,69.1,4.7,,,,,
NORTH CAROLINA,Asian alone,312,211,151,48.4,11.9,71.5,13.1,124,39.6,11.7,58.5,14.3,,,,,
NORTH CAROLINA,Hispanic (of any race),804,350,208,25.9,8.1,59.6,13.8,186,23.1,7.8,53.1,14.0,,,,,
NORTH CAROLINA,White alone or in combination,"5,564","5,072","3,823",68.7,2.1,75.4,2.0,"3,453",62.1,2.2,68.1,2.2,,,,,
NORTH CAROLINA,Black alone or in combination,"1,685","1,633","1,223",72.6,4.4,74.9,4.3,"1,126",66.8,4.6,69.0,4.6,,,,,
NORTH CAROLINA,Asian alone or in combination,318,217,156,49.3,11.8,72.2,12.9,124,38.9,11.6,57.0,14.2,,,,,
NORTH DAKOTA,Total,583,564,424,72.8,2.4,75.2,2.4,362,62.1,2.6,64.2,2.6,,,,,
NORTH DAKOTA,Male,298,288,216,72.6,3.4,75.0,3.3,182,61.1,3.7,63.2,3.7,,,,,
NORTH DAKOTA,Female,285,276,208,73.1,3.4,75.4,3.4,180,63.2,3.7,65.2,3.7,,,,,
NORTH DAKOTA,White alone,520,515,403,77.5,2.4,78.2,2.4,348,67.1,2.7,67.7,2.7,,,,,
NORTH DAKOTA,White non-Hispanic alone,511,508,399,77.9,2.4,78.4,2.4,345,67.4,2.7,67.9,2.7,,,,,
NORTH DAKOTA,Black alone,15,9,4,B,B,B,B,3,B,B,B,B,,,,,
NORTH DAKOTA,Asian alone,11,3,2,B,B,B,B,2,B,B,B,B,,,,,
NORTH DAKOTA,Hispanic (of any race),9,7,5,B,B,B,B,4,B,B,B,B,,,,,
NORTH DAKOTA,White alone or in combination,528,523,406,77.0,2.4,77.7,2.4,351,66.5,2.7,67.1,2.7,,,,,
NORTH DAKOTA,Black alone or in combination,15,10,4,B,B,B,B,3,B,B,B,B,,,,,
NORTH DAKOTA,Asian alone or in combination,12,4,3,B,B,B,B,2,B,B,B,B,,,,,
OHIO,Total,"8,811","8,499","6,128",69.5,1.6,72.1,1.6,"5,408",61.4,1.7,63.6,1.7,,,,,
OHIO,Male,"4,219","4,070","2,837",67.2,2.4,69.7,2.4,"2,472",58.6,2.5,60.7,2.5,,,,,
OHIO,Female,"4,593","4,429","3,291",71.7,2.2,74.3,2.2,"2,936",63.9,2.3,66.3,2.3,,,,,
OHIO,White alone,"7,340","7,226","5,235",71.3,1.7,72.4,1.7,"4,642",63.2,1.9,64.2,1.9,,,,,
OHIO,White non-Hispanic alone,"7,108","7,058","5,121",72.0,1.8,72.6,1.8,"4,547",64.0,1.9,64.4,1.9,,,,,
OHIO,Black alone,"1,031",977,722,70.0,5.7,73.9,5.6,637,61.8,6.0,65.2,6.1,,,,,
OHIO,Asian alone,250,118,62,25.0,11.4,53.1,19.2,55,22.0,10.9,46.8,19.2,,,,,
OHIO,Hispanic (of any race),277,173,119,43.1,15.4,68.9,18.2,100,36.2,15.0,57.8,19.5,,,,,
OHIO,White alone or in combination,"7,496","7,371","5,319",71.0,1.7,72.2,1.7,"4,696",62.6,1.8,63.7,1.8,,,,,
OHIO,Black alone or in combination,"1,127","1,072",769,68.3,5.5,71.8,5.5,662,58.8,5.9,61.8,5.9,,,,,
OHIO,Asian alone or in combination,262,129,68,25.9,11.3,52.5,18.3,60,23.1,10.9,46.8,18.3,,,,,
OKLAHOMA,Total,"2,923","2,746","1,861",63.7,2.8,67.8,2.8,"1,555",53.2,2.9,56.6,3.0,,,,,
OKLAHOMA,Male,"1,417","1,330",890,62.8,4.1,66.9,4.1,735,51.8,4.2,55.2,4.3,,,,,
OKLAHOMA,Female,"1,507","1,416",971,64.5,3.9,68.6,3.9,820,54.4,4.1,57.9,4.2,,,,,
OKLAHOMA,White alone,"2,289","2,158","1,470",64.2,3.2,68.1,3.2,"1,263",55.2,3.3,58.5,3.4,,,,,
OKLAHOMA,White non-Hispanic alone,"2,038","2,029","1,416",69.5,3.2,69.8,3.2,"1,227",60.2,3.4,60.5,3.5,,,,,
OKLAHOMA,Black alone,198,178,139,70.2,12.5,77.8,12.0,102,51.7,13.7,57.3,14.3,,,,,
OKLAHOMA,Asian alone,81,56,37,B,B,B,B,28,B,B,B,B,,,,,
OKLAHOMA,Hispanic (of any race),280,150,68,24.2,12.8,45.2,20.3,50,17.9,11.4,33.4,19.2,,,,,
OKLAHOMA,White alone or in combination,"2,380","2,250","1,520",63.9,3.1,67.6,3.1,"1,300",54.6,3.2,57.8,3.3,,,,,
OKLAHOMA,Black alone or in combination,214,195,149,69.3,12.1,76.2,11.7,109,50.7,13.1,55.8,13.7,,,,,
OKLAHOMA,Asian alone or in combination,87,62,40,B,B,B,B,28,B,B,B,B,,,,,
OREGON,Total,"3,185","2,929","2,147",67.4,2.6,73.3,2.6,"1,942",61.0,2.7,66.3,2.8,,,,,
OREGON,Male,"1,567","1,431","1,052",67.1,3.8,73.5,3.7,952,60.7,3.9,66.5,4.0,,,,,
OREGON,Female,"1,618","1,497","1,095",67.7,3.7,73.2,3.6,990,61.2,3.8,66.1,3.9,,,,,
OREGON,White alone,"2,808","2,644","1,961",69.9,2.7,74.2,2.7,"1,790",63.7,2.9,67.7,2.9,,,,,
OREGON,White non-Hispanic alone,"2,466","2,448","1,836",74.4,2.8,75.0,2.8,"1,684",68.3,3.0,68.8,3.0,,,,,
OREGON,Black alone,57,41,28,B,B,B,B,23,B,B,B,B,,,,,
OREGON,Asian alone,145,92,53,B,B,B,B,47,B,B,B,B,,,,,
OREGON,Hispanic (of any race),371,223,142,38.3,12.6,63.8,16.0,122,32.9,12.1,54.9,16.6,,,,,
OREGON,White alone or in combination,"2,907","2,737","2,030",69.8,2.7,74.2,2.6,"1,850",63.6,2.8,67.6,2.8,,,,,
OREGON,Black alone or in combination,82,65,44,B,B,B,B,37,B,B,B,B,,,,,
OREGON,Asian alone or in combination,172,116,77,44.8,15.2,66.4,17.6,66,38.3,14.8,56.7,18.4,,,,,
PENNSYLVANIA,Total,"9,980","9,596","6,909",69.2,1.5,72.0,1.5,"6,008",60.2,1.6,62.6,1.6,,,,,
PENNSYLVANIA,Male,"4,808","4,589","3,199",66.5,2.3,69.7,2.2,"2,793",58.1,2.4,60.9,2.4,,,,,
PENNSYLVANIA,Female,"5,172","5,007","3,709",71.7,2.1,74.1,2.1,"3,215",62.2,2.2,64.2,2.2,,,,,
PENNSYLVANIA,White alone,"8,435","8,203","5,916",70.1,1.7,72.1,1.6,"5,153",61.1,1.8,62.8,1.8,,,,,
PENNSYLVANIA,White non-Hispanic alone,"8,022","7,884","5,716",71.3,1.7,72.5,1.7,"4,991",62.2,1.8,63.3,1.8,,,,,
PENNSYLVANIA,Black alone,"1,071","1,007",751,70.1,5.6,74.5,5.5,637,59.5,6.0,63.2,6.1,,,,,
PENNSYLVANIA,Asian alone,311,223,138,44.4,11.8,61.8,13.6,135,43.3,11.8,60.3,13.7,,,,,
PENNSYLVANIA,Hispanic (of any race),544,443,279,51.2,11.2,62.9,11.9,229,42.1,11.0,51.7,12.4,,,,,
PENNSYLVANIA,White alone or in combination,"8,524","8,292","5,958",69.9,1.6,71.9,1.6,"5,190",60.9,1.8,62.6,1.8,,,,,
PENNSYLVANIA,Black alone or in combination,"1,152","1,088",805,69.9,5.4,74.0,5.3,692,60.1,5.8,63.6,5.9,,,,,
PENNSYLVANIA,Asian alone or in combination,325,238,147,45.2,11.6,61.8,13.2,144,44.2,11.5,60.4,13.3,,,,,
RHODE ISLAND,Total,836,766,538,64.4,2.7,70.3,2.7,464,55.5,2.8,60.6,2.9,,,,,
RHODE ISLAND,Male,404,369,253,62.7,3.9,68.6,3.9,213,52.8,4.0,57.8,4.2,,,,,
RHODE ISLAND,Female,432,397,285,66.0,3.7,71.8,3.7,251,58.1,3.9,63.2,3.9,,,,,
RHODE ISLAND,White alone,699,664,467,66.7,2.9,70.3,2.9,403,57.7,3.0,60.7,3.1,,,,,
RHODE ISLAND,White non-Hispanic alone,599,588,417,69.5,3.1,70.9,3.1,363,60.5,3.3,61.7,3.3,,,,,
RHODE ISLAND,Black alone,63,58,42,B,B,B,B,34,B,B,B,B,,,,,
RHODE ISLAND,Asian alone,37,16,9,B,B,B,B,9,B,B,B,B,,,,,
RHODE ISLAND,Hispanic (of any race),132,98,67,B,B,B,B,57,B,B,B,B,,,,,
RHODE ISLAND,White alone or in combination,707,672,472,66.8,2.9,70.3,2.9,407,57.6,3.0,60.6,3.1,,,,,
RHODE ISLAND,Black alone or in combination,69,64,47,B,B,B,B,38,B,B,B,B,,,,,
RHODE ISLAND,Asian alone or in combination,39,18,10,B,B,B,B,10,B,B,B,B,,,,,
SOUTH CAROLINA,Total,"3,733","3,598","2,575",69.0,2.5,71.6,2.4,"2,233",59.8,2.6,62.1,2.6,,,,,
SOUTH CAROLINA,Male,"1,774","1,709","1,145",64.6,3.7,67.0,3.7,992,55.9,3.8,58.0,3.9,,,,,
SOUTH CAROLINA,Female,"1,959","1,889","1,430",73.0,3.3,75.7,3.2,"1,241",63.4,3.5,65.7,3.6,,,,,
SOUTH CAROLINA,White alone,"2,621","2,516","1,760",67.1,3.0,70.0,3.0,"1,529",58.3,3.1,60.8,3.2,,,,,
SOUTH CAROLINA,White non-Hispanic alone,"2,477","2,459","1,736",70.1,3.0,70.6,3.0,"1,513",61.1,3.2,61.5,3.2,,,,,
SOUTH CAROLINA,Black alone,975,964,720,73.8,5.5,74.6,5.5,628,64.4,6.0,65.2,6.0,,,,,
SOUTH CAROLINA,Asian alone,62,48,35,B,B,B,B,29,B,B,B,B,,,,,
SOUTH CAROLINA,Hispanic (of any race),175,76,39,B,B,B,B,31,B,B,B,B,,,,,
SOUTH CAROLINA,White alone or in combination,"2,662","2,557","1,795",67.4,3.0,70.2,2.9,"1,554",58.4,3.1,60.8,3.1,,,,,
SOUTH CAROLINA,Black alone or in combination,997,986,735,73.8,5.5,74.6,5.5,640,64.3,6.0,65.0,6.0,,,,,
SOUTH CAROLINA,Asian alone or in combination,62,48,35,B,B,B,B,29,B,B,B,B,,,,,
SOUTH DAKOTA,Total,631,612,437,69.3,2.7,71.4,2.7,362,57.3,2.9,59.1,2.9,,,,,
SOUTH DAKOTA,Male,314,304,213,68.0,3.9,70.3,3.9,171,54.6,4.1,56.5,4.2,,,,,
SOUTH DAKOTA,Female,318,309,224,70.6,3.8,72.6,3.7,191,60.0,4.1,61.7,4.1,,,,,
SOUTH DAKOTA,White alone,560,551,406,72.5,2.8,73.6,2.8,340,60.7,3.0,61.6,3.1,,,,,
SOUTH DAKOTA,White non-Hispanic alone,546,543,402,73.6,2.8,74.0,2.8,336,61.6,3.1,61.9,3.1,,,,,
SOUTH DAKOTA,Black alone,11,8,4,B,B,B,B,3,B,B,B,B,,,,,
SOUTH DAKOTA,Asian alone,9,2,-,B,B,B,B,-,B,B,B,B,,,,,
SOUTH DAKOTA,Hispanic (of any race),21,15,8,B,B,B,B,7,B,B,B,B,,,,,
SOUTH DAKOTA,White alone or in combination,565,557,410,72.6,2.8,73.7,2.8,343,60.7,3.0,61.6,3.0,,,,,
SOUTH DAKOTA,Black alone or in combination,12,9,6,B,B,B,B,5,B,B,B,B,,,,,
SOUTH DAKOTA,Asian alone or in combination,9,2,-,B,B,B,B,-,B,B,B,B,,,,,
TENNESSEE,Total,"5,057","4,872","3,251",64.3,2.2,66.7,2.2,"2,630",52.0,2.3,54.0,2.3,,,,,
TENNESSEE,Male,"2,418","2,316","1,505",62.2,3.2,65.0,3.3,"1,218",50.4,3.3,52.6,3.4,,,,,
TENNESSEE,Female,"2,639","2,556","1,746",66.2,3.0,68.3,3.0,"1,412",53.5,3.2,55.3,3.2,,,,,
TENNESSEE,White alone,"4,014","3,893","2,640",65.8,2.5,67.8,2.5,"2,176",54.2,2.6,55.9,2.6,,,,,
TENNESSEE,White non-Hispanic alone,"3,808","3,783","2,601",68.3,2.5,68.7,2.5,"2,148",56.4,2.6,56.8,2.6,,,,,
TENNESSEE,Black alone,814,800,519,63.8,6.7,64.9,6.7,402,49.4,7.0,50.3,7.0,,,,,
TENNESSEE,Asian alone,132,82,42,B,B,B,B,29,B,B,B,B,,,,,
TENNESSEE,Hispanic (of any race),221,125,40,18.0,13.3,31.8,21.5,27,12.3,11.4,21.7,19.0,,,,,
TENNESSEE,White alone or in combination,"4,093","3,972","2,679",65.5,2.4,67.4,2.4,"2,199",53.7,2.6,55.4,2.6,,,,,
TENNESSEE,Black alone or in combination,828,814,525,63.4,6.7,64.5,6.7,404,48.8,6.9,49.7,7.0,,,,,
TENNESSEE,Asian alone or in combination,148,98,48,B,B,B,B,32,B,B,B,B,,,,,
TEXAS,Total,"20,172","17,378","11,724",58.1,1.2,67.5,1.2,"9,626",47.7,1.2,55.4,1.3,,,,,
TEXAS,Male,"9,775","8,325","5,479",56.0,1.7,65.8,1.7,"4,465",45.7,1.7,53.6,1.8,,,,,
TEXAS,Female,"10,397","9,053","6,245",60.1,1.6,69.0,1.6,"5,162",49.6,1.6,57.0,1.7,,,,,
TEXAS,White alone,"16,095","13,909","9,306",57.8,1.3,66.9,1.3,"7,700",47.8,1.3,55.4,1.4,,,,,
TEXAS,White non-Hispanic alone,"9,534","9,383","6,822",71.6,1.5,72.7,1.5,"5,905",61.9,1.7,62.9,1.7,,,,,
TEXAS,Black alone,"2,458","2,358","1,724",70.2,3.7,73.1,3.7,"1,349",54.9,4.0,57.2,4.1,,,,,
TEXAS,Asian alone,"1,110",715,418,37.7,6.1,58.5,7.8,338,30.4,5.8,47.3,7.9,,,,,
TEXAS,Hispanic (of any race),"6,923","4,781","2,654",38.3,3.1,55.5,3.8,"1,938",28.0,2.8,40.5,3.7,,,,,
TEXAS,White alone or in combination,"16,291","14,101","9,436",57.9,1.3,66.9,1.3,"7,807",47.9,1.3,55.4,1.4,,,,,
TEXAS,Black alone or in combination,"2,576","2,473","1,812",70.3,3.6,73.3,3.6,"1,417",55.0,3.9,57.3,4.0,,,,,
TEXAS,Asian alone or in combination,"1,135",736,440,38.7,6.1,59.7,7.6,356,31.3,5.8,48.3,7.7,,,,,
UTAH,Total,"2,096","1,969","1,398",66.7,2.3,71.0,2.2,"1,234",58.9,2.4,62.7,2.4,,,,,
UTAH,Male,"1,043",983,700,67.1,3.2,71.3,3.2,613,58.7,3.3,62.4,3.4,,,,,
UTAH,Female,"1,053",986,698,66.3,3.2,70.8,3.2,621,59.0,3.3,63.0,3.4,,,,,
UTAH,White alone,"1,955","1,852","1,339",68.5,2.3,72.3,2.3,"1,181",60.4,2.4,63.8,2.5,,,,,
UTAH,White non-Hispanic alone,"1,737","1,731","1,265",72.8,2.3,73.0,2.3,"1,115",64.2,2.5,64.4,2.5,,,,,
UTAH,Black alone,20,16,8,B,B,B,B,7,B,B,B,B,,,,,
UTAH,Asian alone,44,27,19,B,B,B,B,19,B,B,B,B,,,,,
UTAH,Hispanic (of any race),245,148,94,38.5,10.7,63.8,13.6,86,35.0,10.5,58.1,14.0,,,,,
UTAH,White alone or in combination,"1,977","1,874","1,348",68.2,2.3,71.9,2.3,"1,190",60.2,2.4,63.5,2.4,,,,,
UTAH,Black alone or in combination,32,27,13,B,B,B,B,12,B,B,B,B,,,,,
UTAH,Asian alone or in combination,49,32,19,B,B,B,B,19,B,B,B,B,,,,,
VERMONT,Total,500,488,351,70.2,2.8,71.9,2.8,305,61.0,3.0,62.5,3.0,,,,,
VERMONT,Male,246,241,166,67.6,4.1,69.0,4.1,144,58.4,4.3,59.7,4.3,,,,,
VERMONT,Female,254,248,185,72.8,3.8,74.7,3.8,161,63.6,4.2,65.2,4.2,,,,,
VERMONT,White alone,468,464,339,72.5,2.8,73.0,2.8,293,62.7,3.1,63.2,3.1,,,,,
VERMONT,White non-Hispanic alone,464,460,336,72.4,2.9,73.0,2.8,290,62.6,3.1,63.1,3.1,,,,,
VERMONT,Black alone,5,4,2,B,B,B,B,1,B,B,B,B,,,,,
VERMONT,Asian alone,13,7,4,B,B,B,B,4,B,B,B,B,,,,,
VERMONT,Hispanic (of any race),5,4,3,B,B,B,B,3,B,B,B,B,,,,,
VERMONT,White alone or in combination,479,476,344,71.8,2.8,72.3,2.8,298,62.3,3.0,62.8,3.0,,,,,
VERMONT,Black alone or in combination,7,6,3,B,B,B,B,2,B,B,B,B,,,,,
VERMONT,Asian alone or in combination,15,9,5,B,B,B,B,5,B,B,B,B,,,,,
VIRGINIA,Total,"6,343","5,829","4,399",69.4,1.9,75.5,1.9,"3,973",62.6,2.0,68.2,2.0,,,,,
VIRGINIA,Male,"3,026","2,778","2,023",66.9,2.9,72.8,2.8,"1,806",59.7,3.0,65.0,3.0,,,,,
VIRGINIA,Female,"3,317","3,052","2,376",71.6,2.6,77.9,2.5,"2,168",65.3,2.8,71.0,2.8,,,,,
VIRGINIA,White alone,"4,459","4,172","3,218",72.2,2.3,77.1,2.2,"2,891",64.8,2.4,69.3,2.4,,,,,
VIRGINIA,White non-Hispanic alone,"3,976","3,885","3,009",75.7,2.3,77.5,2.2,"2,702",68.0,2.5,69.6,2.5,,,,,
VIRGINIA,Black alone,"1,189","1,136",817,68.7,5.5,71.9,5.4,738,62.0,5.7,64.9,5.8,,,,,
VIRGINIA,Asian alone,462,300,219,47.4,9.9,73.0,10.9,210,45.4,9.8,69.9,11.2,,,,,
VIRGINIA,Hispanic (of any race),606,342,240,39.5,10.5,70.1,13.1,219,36.2,10.3,64.2,13.7,,,,,
VIRGINIA,White alone or in combination,"4,571","4,285","3,298",72.1,2.2,77.0,2.2,"2,967",64.9,2.4,69.2,2.4,,,,,
VIRGINIA,Black alone or in combination,"1,256","1,203",851,67.8,5.4,70.8,5.3,768,61.2,5.6,63.9,5.6,,,,,
VIRGINIA,Asian alone or in combination,513,351,261,50.9,9.4,74.3,9.9,251,49.1,9.4,71.7,10.2,,,,,
WASHINGTON,Total,"5,592","5,104","3,906",69.9,2.0,76.5,2.0,"3,382",60.5,2.2,66.3,2.2,,,,,
WASHINGTON,Male,"2,765","2,497","1,852",67.0,3.0,74.2,2.9,"1,525",55.2,3.1,61.1,3.2,,,,,
WASHINGTON,Female,"2,827","2,607","2,055",72.7,2.8,78.8,2.7,"1,857",65.7,3.0,71.2,2.9,,,,,
WASHINGTON,White alone,"4,628","4,353","3,403",73.5,2.2,78.2,2.1,"3,027",65.4,2.3,69.5,2.3,,,,,
WASHINGTON,White non-Hispanic alone,"4,059","3,965","3,164",77.9,2.2,79.8,2.1,"2,842",70.0,2.4,71.7,2.4,,,,,
WASHINGTON,Black alone,201,184,116,57.7,14.0,63.2,14.3,78,38.8,13.8,42.6,14.7,,,,,
WASHINGTON,Asian alone,426,239,190,44.6,10.1,79.6,11.0,165,38.7,9.9,69.0,12.6,,,,,
WASHINGTON,Hispanic (of any race),656,465,292,44.6,10.1,62.9,11.7,219,33.4,9.6,47.2,12.1,,,,,
WASHINGTON,White alone or in combination,"4,775","4,500","3,503",73.4,2.1,77.8,2.1,"3,093",64.8,2.3,68.7,2.3,,,,,
WASHINGTON,Black alone or in combination,239,222,137,57.4,12.9,61.9,13.1,85,35.5,12.5,38.3,13.2,,,,,
WASHINGTON,Asian alone or in combination,470,283,224,47.7,9.7,79.4,10.1,188,40.1,9.5,66.7,11.8,,,,,
WEST VIRGINIA,Total,"1,434","1,425",913,63.6,2.8,64.1,2.8,723,50.4,2.9,50.8,2.9,,,,,
WEST VIRGINIA,Male,695,688,428,61.5,4.0,62.1,4.0,335,48.2,4.1,48.7,4.1,,,,,
WEST VIRGINIA,Female,739,736,485,65.6,3.8,65.9,3.8,388,52.5,4.0,52.7,4.0,,,,,
WEST VIRGINIA,White alone,"1,350","1,347",865,64.0,2.8,64.2,2.8,682,50.5,3.0,50.7,3.0,,,,,
WEST VIRGINIA,White non-Hispanic alone,"1,340","1,339",860,64.2,2.8,64.2,2.8,679,50.7,3.0,50.7,3.0,,,,,
WEST VIRGINIA,Black alone,48,47,27,B,B,B,B,24,B,B,B,B,,,,,
WEST VIRGINIA,Asian alone,10,7,4,B,B,B,B,3,B,B,B,B,,,,,
WEST VIRGINIA,Hispanic (of any race),13,9,4,B,B,B,B,3,B,B,B,B,,,,,
WEST VIRGINIA,White alone or in combination,"1,371","1,368",880,64.2,2.8,64.3,2.8,695,50.7,2.9,50.8,2.9,,,,,
WEST VIRGINIA,Black alone or in combination,55,55,30,B,B,B,B,25,B,B,B,B,,,,,
WEST VIRGINIA,Asian alone or in combination,14,11,8,B,B,B,B,6,B,B,B,B,,,,,
WISCONSIN,Total,"4,465","4,354","3,323",74.4,2.2,76.3,2.1,"3,068",68.7,2.3,70.5,2.3,,,,,
WISCONSIN,Male,"2,193","2,132","1,584",72.2,3.2,74.3,3.1,"1,468",66.9,3.3,68.8,3.3,,,,,
WISCONSIN,Female,"2,272","2,222","1,739",76.5,2.9,78.3,2.9,"1,600",70.4,3.2,72.0,3.2,,,,,
WISCONSIN,White alone,"4,079","3,998","3,130",76.7,2.2,78.3,2.2,"2,897",71.0,2.4,72.5,2.3,,,,,
WISCONSIN,White non-Hispanic alone,"3,792","3,776","3,009",79.4,2.2,79.7,2.2,"2,796",73.7,2.4,74.0,2.4,,,,,
WISCONSIN,Black alone,205,197,101,49.3,14.0,51.2,14.3,92,45.1,13.9,46.8,14.2,,,,,
WISCONSIN,Asian alone,118,95,50,B,B,B,B,45,B,B,B,B,,,,,
WISCONSIN,Hispanic (of any race),329,260,136,41.2,14.1,52.1,16.1,111,33.8,13.6,42.8,16.0,,,,,
WISCONSIN,White alone or in combination,"4,129","4,049","3,165",76.6,2.2,78.2,2.2,"2,923",70.8,2.3,72.2,2.3,,,,,
WISCONSIN,Black alone or in combination,241,233,122,50.5,12.9,52.2,13.1,104,43.4,12.8,44.8,13.1,,,,,
WISCONSIN,Asian alone or in combination,129,106,62,48.0,18.4,58.3,20.0,57,43.8,18.3,53.3,20.3,,,,,
WYOMING,Total,436,427,304,69.7,2.7,71.1,2.7,277,63.5,2.8,64.8,2.8,,,,,
WYOMING,Male,223,218,154,69.1,3.8,70.6,3.8,139,62.4,4.0,63.7,4.0,,,,,
WYOMING,Female,213,209,150,70.3,3.8,71.7,3.8,138,64.7,4.0,66.0,4.0,,,,,
WYOMING,White alone,405,399,284,70.2,2.8,71.2,2.8,260,64.3,2.9,65.3,2.9,,,,,
WYOMING,White non-Hispanic alone,374,373,270,72.2,2.8,72.3,2.8,249,66.6,3.0,66.8,3.0,,,,,
WYOMING,Black alone,5,5,4,B,B,B,B,3,B,B,B,B,,,,,
WYOMING,Asian alone,6,4,3,B,B,B,B,3,B,B,B,B,,,,,
WYOMING,Hispanic (of any race),32,26,15,B,B,B,B,12,B,B,B,B,,,,,
WYOMING,White alone or in combination,409,404,289,70.5,2.8,71.6,2.8,264,64.6,2.9,65.5,2.9,,,,,
WYOMING,Black alone or in combination,6,6,6,B,B,B,B,4,B,B,B,B,,,,,
WYOMING,Asian alone or in combination,7,4,3,B,B,B,B,3,B,B,B,B,,,,,