1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
477,OK,Oklahoma,S,n/a,,,,,Total State Votes:,,"2,616",,,,"1,448,047",,,,,,,
478,OK,Oklahoma,S,n/a,,,,,,,,,,,,,,,,,,
479,,,S,n/a,,,,,,,,,,,,,,,,,,
480,OR,Oregon,S,S6OR00110,(I),Ron,Wyden,"Wyden, Ron",,D,"501,903",83.20%,,,"1,105,119",56.60%,,,,,W,
481,OR,Oregon,S,S6OR05085,,Kevin H.,Stine,"Stine, Kevin H.",,D,"78,287",12.98%,,,,,,,,,,
482,OR,Oregon,S,S6OR05101,,Paul B.,Weaver,"Weaver, Paul B.",,D,"20,346",3.37%,,,,,,,,,,
483,OR,Oregon,S,n/a,,,Scattered,Scattered,,W(D),"2,740",0.45%,,,,,,,,,,
484,OR,Oregon,S,n/a,,,,,Party Votes:,D,"603,276",,,,,,,,,,,
485,OR,Oregon,S,S4OR00172,,Mark,Callahan,"Callahan, Mark",,R,"123,473",38.24%,,,"651,106",33.35%,,,,,,
486,OR,Oregon,S,S0OR00238,,Sam,Carpenter,"Carpenter, Sam",,R,"104,494",32.36%,,,,,,,,,,
487,OR,Oregon,S,S6OR05093,,Faye,Stewart,"Stewart, Faye",,R,"57,399",17.78%,,,,,,,,,,
488,OR,Oregon,S,S6OR05119,,Dan,Laschober,"Laschober, Dan",,R,"34,157",10.58%,,,,,,,,,,
489,OR,Oregon,S,n/a,,,Scattered,Scattered,,W(R),"3,357",1.04%,,,,,,,,,,
490,OR,Oregon,S,n/a,,,,,Party Votes:,R,"322,880",,,,,,,,,,,
491,OR,Oregon,S,S6OR05127,,Steven C.,Reynolds,"Reynolds, Steven C.",,IP,"10,497",40.80%,,,"59,516",3.05%,,,,,,
492,OR,Oregon,S,n/a,,,Scattered,Scattered,,W(IP),"10,496",40.80%,,,,,,,,,,
493,OR,Oregon,S,S6OR05135,,Marvin,Sandnes,"Sandnes, Marvin",,IP,"4,733",18.40%,,,,,,,,,,
494,OR,Oregon,S,n/a,,,,,Party Votes:,IP,"25,726",,,,,,,,,,,
495,OR,Oregon,S,S6OR05168,,Shanti S.,Lewallen,"Lewallen, Shanti S.",,WF,,,,,"61,915",3.17%,,,,,,
496,OR,Oregon,S,S6OR05150,,Eric,Navickas,"Navickas, Eric",,PG/PRO,*,,,,"48,823",2.50%,,,,,,"*  The Libertarian Party nominated by convention on May 27, 2016, and the Pacific Green Party nominated by convention on May 21, 2016.  Convention nominees are noted with an asterisk."
497,OR,Oregon,S,S6OR05176,,Jim,Lindsay,"Lindsay, Jim",,LIB,*,,,,"23,941",1.23%,,,,,,"*  The Libertarian Party nominated by convention on May 27, 2016, and the Pacific Green Party nominated by convention on May 21, 2016.  Convention nominees are noted with an asterisk."
498,OR,Oregon,S,n/a,,,Scattered,Scattered,,W ,,,,,"2,058",0.11%,,,,,,
499,OR,Oregon,S,n/a,,,,,Total State Votes:,,"951,882",,,,"1,952,478",,,,,,,
500,OR,Oregon,S,n/a,,,,,,,,,,,,,,,,,,
501,,,S,n/a,,,,,,,,,,,,,,,,,,
502,PA,Pennsylvania,S,S4PA00121 ,(I),Pat,Toomey,"Toomey, Pat",,R,"1,342,941",99.05%,,,"2,951,702",48.72%,,,,,W,
503,PA,Pennsylvania,S,n/a,,,Scattered,Scattered,,W(R),"12,833",0.95%,,,,,,,,,,
504,PA,Pennsylvania,S,n/a,,,,,Party Votes:,R,"1,355,774",,,,,,,,,,,
505,PA,Pennsylvania,S,S6PA00266 ,,Katie,McGinty,"McGinty, Katie",,D,"669,774",42.38%,,,"2,865,012",47.29%,,,,,,
506,PA,Pennsylvania,S,S0PA00434 ,,Joe,Sestak,"Sestak, Joe",,D,"513,221",32.47%,,,,,,,,,,
507,PA,Pennsylvania,S,S6PA00274 ,,John,Fetterman,"Fetterman, John",,D,"307,090",19.43%,,,,,,,,,,
508,PA,Pennsylvania,S,S4PA00196,,Joseph J.,Vodvarka,"Vodvarka, Joseph J.",,D,"85,837",5.43%,,,,,,,,,,
509,PA,Pennsylvania,S,n/a,,,Scattered,Scattered,,W(D),"4,448",,,,,,,,,,,
510,PA,Pennsylvania,S,n/a,,,,,Party Votes:,D,"1,580,370",,,,,,,,,,,
511,PA,Pennsylvania,S,S6PA00316,,"Edward T., III",Clifford,"Clifford, Edward T., III",,LIB,,,,,"235,142",3.88%,,,,,,
512,PA,Pennsylvania,S,n/a,,,Scattered,Scattered,,W,,,,,"6,655",0.11%,,,,,,
513,PA,Pennsylvania,S,n/a,,,,,Total State Votes:,,"2,936,144",,,,"6,058,511",,,,,,,
514,PA,Pennsylvania,S,n/a,,,,,,,,,,,,,,,,,,
515,,,S,n/a,,,,,,,,,,,,,,,,,,
516,SC,South Carolina,S,S4SC00240,(I),Tim,Scott,"Scott, Tim",,R,Unopposed,,,,"1,241,609",60.57%,,,,,W,
517,SC,South Carolina,S,S6SC04148,,Thomas,Dixon,"Dixon, Thomas",,D,Unopposed,,,,"704,540",34.37%,,,"757,022",36.93%,,
518,SC,South Carolina,S,S6SC04148,,Thomas,Dixon,"Dixon, Thomas",,WF,*,,,,"37,610",1.83%,,,"757,022",36.93%,,"The Green Party nominated by convention on April 30, 2016, the Libertarian Party nominated by convention on May 7, 2016, the American and Constitution Parties nominated by convention on May 14, 2016, and the Working Families Party nominated by convention on August 12, 2016.  Convention nominees are noted with an asterisk."
519,SC,South Carolina,S,S6SC04148,,Thomas,Dixon,"Dixon, Thomas",,GRE,*,,,,"14,872",0.73%,,,"757,022",36.93%,,"The Green Party nominated by convention on April 30, 2016, the Libertarian Party nominated by convention on May 7, 2016, the American and Constitution Parties nominated by convention on May 14, 2016, and the Working Families Party nominated by convention on August 12, 2016.  Convention nominees are noted with an asterisk."
520,SC,South Carolina,S,S6SC04155,,Bill,Bledsoe,"Bledsoe, Bill",,LIB,*,,,,"24,830",1.21%,,,"37,482",1.83%,,"The Green Party nominated by convention on April 30, 2016, the Libertarian Party nominated by convention on May 7, 2016, the American and Constitution Parties nominated by convention on May 14, 2016, and the Working Families Party nominated by convention on August 12, 2016.  Convention nominees are noted with an asterisk."
521,SC,South Carolina,S,S6SC04155,,Bill,Bledsoe,"Bledsoe, Bill",,CON,*,,,,"12,652",0.62%,,,"37,482",1.83%,,"The Green Party nominated by convention on April 30, 2016, the Libertarian Party nominated by convention on May 7, 2016, the American and Constitution Parties nominated by convention on May 14, 2016, and the Working Families Party nominated by convention on August 12, 2016.  Convention nominees are noted with an asterisk."
522,SC,South Carolina,S,S6SC04171,,Rebel Michael,Scarborough,"Scarborough, Rebel Michael",,AM,*,,,,"11,923",0.58%,,,,,,"The Green Party nominated by convention on April 30, 2016, the Libertarian Party nominated by convention on May 7, 2016, the American and Constitution Parties nominated by convention on May 14, 2016, and the Working Families Party nominated by convention on August 12, 2016.  Convention nominees are noted with an asterisk."
523,SC,South Carolina,S,S6SC04163,,Jim,Hinkle,"Hinkle, Jim",,AM,,,,,,,,,,,,"The Green Party nominated by convention on April 30, 2016, the Libertarian Party nominated by convention on May 7, 2016, the American and Constitution Parties nominated by convention on May 14, 2016, and the Working Families Party nominated by convention on August 12, 2016.  Convention nominees are noted with an asterisk."
524,SC,South Carolina,S,n/a,,,Scattered,Scattered,,W,,,,,"1,857",0.09%,,,,,,
525,SC,South Carolina,S,n/a,,,,,Total State Votes:,,,,,,"2,049,893",,,,,,,
526,SC,South Carolina,S,n/a,,,,,,,,,,,,,,,,,,
527,,,S,n/a,,,,,,,,,,,,,,,,,,
528,SD,South Dakota,S,S2SD00068,(I),John R.,Thune,"Thune, John R.",,R,Unopposed,,,,"265,516",71.83%,,,,,W,
529,SD,South Dakota,S,S6SD01091,,Jay,Williams,"Williams, Jay",,D,Unopposed,,,,"104,140",28.17%,,,,,,
530,SD,South Dakota,S,n/a,,,,,Total State Votes:,,,,,,"369,656",,,,,,,
531,SD,South Dakota,S,n/a,,,,,,,,,,,,,,,,,,
532,,,S,n/a,,,,,,,,,,,,,,,,,,
533,UT,Utah,S,S0UT00165 ,(I),Mike,Lee,"Lee, Mike",,R,*,,,,"760,241",68.15%,,,,,W,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  The Constitution Party convention was held on April 9, 2016; the Democratic, Republican, Independent American and Libertarian conventions were held on April 23, 2016.  Convention nominees are noted with an asterisk."
534,UT,Utah,S,S6UT00246,,Misty K.,Snow,"Snow, Misty K.",,D,"28,928",59.40%,,,"301,860",27.06%,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  The Constitution Party convention was held on April 9, 2016; the Democratic, Republican, Independent American and Libertarian conventions were held on April 23, 2016.  Convention nominees are noted with an asterisk."
535,UT,Utah,S,S6UT00238,,Jonathan,Swinton,"Swinton, Jonathan",,D,"19,774",40.60%,,,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  The Constitution Party convention was held on April 9, 2016; the Democratic, Republican, Independent American and Libertarian conventions were held on April 23, 2016.  Convention nominees are noted with an asterisk."
536,UT,Utah,S,S6UT00279,,Jade Tuan,Quoc Vo,"Quoc Vo, Jade Tuan",,D,,,,,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  The Constitution Party convention was held on April 9, 2016; the Democratic, Republican, Independent American and Libertarian conventions were held on April 23, 2016.  Convention nominees are noted with an asterisk."
537,,,S,n/a,,,,,Party Votes:,D,"48,702",,,,,,,,,,,
538,UT,Utah,S,S6UT00261,,Stoney,Fonua,"Fonua, Stoney",,IAP,*,,,,"27,340",2.45%,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  The Constitution Party convention was held on April 9, 2016; the Democratic, Republican, Independent American and Libertarian conventions were held on April 23, 2016.  Convention nominees are noted with an asterisk."
539,UT,Utah,S,S2UT00187,,Bill,Barron,"Barron, Bill",,UN,,,,,"26,167",2.35%,,,,,,
540,UT,Utah,S,n/a,,,,,Total State Votes:,,"48,702",,,,"1,115,608",,,,,,,
541,UT,Utah,S,n/a,,,,,,,,,,,,,,,,,,
542,,,S,n/a,,,,,,,,,,,,,,,,,,
543,VT,Vermont,S,S4VT00017,(I),Patrick,Leahy,"Leahy, Patrick",,D,"62,249",88.59%,,,"192,243",61.26%,,,,,W,
544,VT,Vermont,S,S4VT00132,,Cris,Ericson,"Ericson, Cris",,D,"7,596",10.81%,,,,,,,,,,
545,VT,Vermont,S,n/a,,,Scattered,Scattered,,W(D),424,0.60%,,,,,,,,,,
546,VT,Vermont,S,n/a,,,,,Party Votes:,D,"70,269",,,,,,,,,,,
547,VT,Vermont,S,S6VT00160,,Scott,Milne,"Milne, Scott",,R,"37,782",96.86%,,,"103,637",33.03%,,,,,,
548,VT,Vermont,S,n/a,,,Scattered,Scattered,,W(R),"1,223",3.14%,,,,,,,,,,
549,VT,Vermont,S,n/a,,,,,Party Votes:,R,"39,005",,,,,,,,,,,
550,VT,Vermont,S,S4VT00132,,Cris,Ericson,"Ericson, Cris",,USM,,,,,"9,156",2.92%,,,,,,
551,VT,Vermont,S,S6VT00178,,Jerry,Trudell,"Trudell, Jerry",,IND,,,,,"5,223",1.66%,,,,,,
552,VT,Vermont,S,S6VT00152,,Pete ,Diamondstone,"Diamondstone, Pete ",,LBU,,,,,"3,241",1.03%,,,,,,
553,VT,Vermont,S,n/a,,,Scattered,Scattered,,W,,,,,168,0.05%,,,,,,
554,VT,Vermont,S,S4VT00033,,Bernie,Sanders,"Sanders, Bernie",,W,,,,,86,0.03%,,,,,,
555,VT,Vermont,S,n/a,,,No Name,No Name,,W,,,,,25,0.01%,,,,,,
556,VT,Vermont,S,n/a,,Rosanne,Greco,"Greco, Rosanne",,W,,,,,14,0.00%,,,,,,
557,VT,Vermont,S,n/a,,Jim,Douglas,"Douglas, Jim",,W,,,,,9,0.00%,,,,,,
558,VT,Vermont,S,n/a,,Peter,Welch,"Welch, Peter",,W,,,,,7,0.00%,,,,,,
559,VT,Vermont,S,n/a,,,Scattered,Scattered,,W(PRO),245,100.00%,,,,,,,,,,
560,VT,Vermont,S,n/a,,,,,Party Votes:,PRO,245,,,,,,,,,,,
561,VT,Vermont,S,n/a,,,,,Total State Votes:,,"109,519",,,,"313,809",,,,,,,
562,VT,Vermont,S,n/a,,,,,,,,,,,,,,,,,,
563,,,S,n/a,,,,,,,,,,,,,,,,,,
564,WA,Washington,S,S2WA00189,(I),Patty ,Murray,"Murray, Patty ",,D,"745,421",53.82%,,,"1,913,979",59.01%,,,,,W,
565,WA,Washington,S,S6WA00321,,Chris ,Vance,"Vance, Chris ",,R,"381,004",27.51%,,,"1,329,338",40.99%,,,,,,
566,WA,Washington,S,S6WA00388 ,,Eric John,Makus,"Makus, Eric John",,R,"57,825",4.18%,,,,,,,,,,
567,WA,Washington,S,S6WA00354,,Philip L.,Cornell,"Cornell, Philip L.",,D,"46,460",3.35%,,,,,,,,,,
568,WA,Washington,S,S6WA00370,,Scott,Nazarino,"Nazarino, Scott",,R,"41,542",3.00%,,,,,,,,,,
569,WA,Washington,S,S6WA00446,,Mike,Luke,"Luke, Mike",,LIB,"20,988",1.52%,,,,,,,,,,
570,WA,Washington,S,S4WA00474,,Mohammad,Said,"Said, Mohammad",,D,"13,362",0.96%,,,,,,,,,,
571,WA,Washington,S,S6WA00396,,Donna Rae,Lands,"Lands, Donna Rae",,CRV,"11,472",0.83%,,,,,,,,,,
572,WA,Washington,S,S4WA00524 ,,Ted,Cummings,"Cummings, Ted",,IP,"11,028",0.80%,,,,,,,,,,
573,WA,Washington,S,S6WA00404,,Sam,Wright,"Wright, Sam",,HRP,"10,751",0.78%,,,,,,,,,,
574,WA,Washington,S,S6WA00347,,Uncle,Mover,"Mover, Uncle",,R,"8,569",0.62%,,,,,,,,,,
575,WA,Washington,S,S6WA00453,,Jeremy,Teuton,"Teuton, Jeremy",,SRP,"7,991",0.58%,,,,,,,,,,
576,WA,Washington,S,S8WA00137 ,,Thor,Amundson,"Amundson, Thor",,D,"7,906",0.57%,,,,,,,,,,
577,WA,Washington,S,S6WA00420,,Chuck,Jackson,"Jackson, Chuck",,IP,"6,318",0.46%,,,,,,,,,,
578,WA,Washington,S,S6WA00438 ,,Dr. Pano,Churchill,"Churchill, Dr. Pano",,LCP,"5,150",0.37%,,,,,,,,,,
579,WA,Washington,S,S6WA00412,,Zach,Haller,"Haller, Zach",,IP,"5,092",0.37%,,,,,,,,,,
580,WA,Washington,S,S6WA00339 ,,Alex,Tsimerman,"Tsimerman, Alex",,SUA,"4,117",0.30%,,,,,,,,,,
581,WA,Washington,S,n/a,,,,,Total State Votes:,,"1,384,996",,,,"3,243,317",,,,,,,
582,WA,Washington,S,n/a,,,,,,,,,,,,,,,,,,
583,,,S,n/a,,,,,,,,,,,,,,,,,,
584,WI,Wisconsin,S,S0WI00197,(I),Ron ,Johnson,"Johnson, Ron ",,R,"248,754",99.51%,,,"1,479,471",50.17%,,,,,W,
585,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(R),"1,225",0.49%,,,,,,,,,,
586,WI,Wisconsin,S,n/a,,,,,Party Votes:,R,"249,979",,,,,,,,,,,
587,WI,Wisconsin,S,S8WI00026,,Russ,Feingold,"Feingold, Russ",,D,"303,791",90.13%,,,"1,380,335",46.81%,,,,,,
588,WI,Wisconsin,S,S6WI00160,,Scott,Harbach,"Harbach, Scott",,D,"33,096",9.82%,,,,,,,,,,
589,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(D),189,0.06%,,,,,,,,,,
590,WI,Wisconsin,S,n/a,,,,,Party Votes:,D,"337,076",,,,,,,,,,,
591,WI,Wisconsin,S,S6WI00152,,Phillip N.,Anderson,"Anderson, Phillip N.",,LIB,"1,625",98.96%,,,"87,531",2.97%,,,,,,
592,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(LIB),17,1.04%,,,,,,,,,,
593,WI,Wisconsin,S,n/a,,,,,Party Votes:,LIB,"1,642",,,,,,,,,,,
594,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W,,,,,"1,396",0.05%,,,,,,
595,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(CON),51,100.00%,,,,,,,,,,
596,WI,Wisconsin,S,n/a,,,,,Party Votes:,CON,51,,,,,,,,,,,
597,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(WG),114,100.00%,,,,,,,,,,
598,WI,Wisconsin,S,n/a,,,,,Party Votes:,WG,114,,,,,,,,,,,
599,WI,Wisconsin,S,S2WI00193,,John,Schiess,"Schiess, John",,W,,,,,8,0.00%,,,,,,
600,WI,Wisconsin,S,n/a,,,,,Total State Votes:,,"588,862",,,,"2,948,741",,,,,,,
601,WI,Wisconsin,S,n/a,,,,,,,,,,,,,,,,,,